UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_wind_production_forecast
2023-01-01 00:00:00,2024-07-17 00:00:00,3.1,3.807174697813604,281.7103184026274,278.6742300350602,0.0,0.436499720449707,154938.99586
2023-01-01 01:00:00,2024-07-17 00:00:00,3.1,4.275588409941767,282.50273229922493,279.0055548513294,0.0,0.3842250143023416,154136.99278
2023-01-01 02:00:00,2024-07-17 00:00:00,3.1,4.275588409941767,282.50273229922493,279.0055548513294,0.0,0.3842250143023416,151405.00622
2023-01-01 03:00:00,2024-07-17 00:00:00,3.1,4.275588409941767,282.50273229922493,279.0055548513294,0.0,0.3842250143023416,149317.00754
2023-01-01 04:00:00,2024-07-17 00:00:00,3.1,4.658268331758816,282.2910332176264,278.7634298507224,0.0,0.954506982418974,147239.99962
2023-01-01 05:00:00,2024-07-17 00:00:00,3.1,4.658268331758816,282.2910332176264,278.7634298507224,0.0,0.954506982418974,145656.99257
2023-01-01 06:00:00,2024-07-17 00:00:00,3.1,4.658268331758816,282.2910332176264,278.7634298507224,0.0,0.954506982418974,140222.99842
2023-01-01 07:00:00,2024-07-17 00:00:00,3.1,4.977433074584307,282.801809847477,278.93482964041925,19.63554258343209,0.4611765561840907,136803.99729
2023-01-01 08:00:00,2024-07-17 00:00:00,3.1,4.977433074584307,282.801809847477,278.93482964041925,19.63554258343209,0.4611765561840907,132435.00159
2023-01-01 09:00:00,2024-07-17 00:00:00,3.1,4.977433074584307,282.801809847477,278.93482964041925,19.63554258343209,0.4611765561840907,126680.00359
2023-01-01 10:00:00,2024-07-17 00:00:00,3.1,5.556960733910442,283.7054073403461,279.3969817813657,67.58239471108234,0.885011170741916,119774.99761
2023-01-01 11:00:00,2024-07-17 00:00:00,3.1,5.556960733910442,283.7054073403461,279.3969817813657,67.58239471108234,0.885011170741916,111238.99979
2023-01-01 12:00:00,2024-07-17 00:00:00,3.1,5.556960733910442,283.7054073403461,279.3969817813657,67.58239471108234,0.885011170741916,102232.0034
2023-01-01 13:00:00,2024-07-17 00:00:00,3.1,5.352482945949063,282.2298186088934,279.0970717742467,70.66960544906868,0.3059428978705687,101496.99637
2023-01-01 14:00:00,2024-07-17 00:00:00,3.1,5.352482945949063,282.2298186088934,279.0970717742467,70.66960544906868,0.3059428978705687,95995.9985
2023-01-01 15:00:00,2024-07-17 00:00:00,3.1,5.352482945949063,282.2298186088934,279.0970717742467,70.66960544906868,0.3059428978705687,93207.99898
2023-01-01 16:00:00,2024-07-17 00:00:00,3.1,5.0052738704396855,281.1878860311828,278.68061638051495,35.62282428066011,0.5516713440756988,93189.00308
2023-01-01 17:00:00,2024-07-17 00:00:00,3.1,5.0052738704396855,281.1878860311828,278.68061638051495,35.62282428066011,0.5516713440756988,94872.00148
2023-01-01 18:00:00,2024-07-17 00:00:00,3.1,5.0052738704396855,281.1878860311828,278.68061638051495,35.62282428066011,0.5516713440756988,96513.99944
2023-01-01 19:00:00,2024-07-17 00:00:00,3.1,4.72567127747207,280.5709363991733,278.24382592625693,0.0,0.1696365901039878,93736.00058
2023-01-01 20:00:00,2024-07-17 00:00:00,3.1,4.72567127747207,280.5709363991733,278.24382592625693,0.0,0.1696365901039878,92154.99673
2023-01-01 21:00:00,2024-07-17 00:00:00,3.1,4.72567127747207,280.5709363991733,278.24382592625693,0.0,0.1696365901039878,90989.99926
2023-01-01 22:00:00,2024-07-17 00:00:00,3.1,4.369877887326324,279.8478019376132,277.6290624353325,0.0,0.2995765349448179,90811.00032
2023-01-01 23:00:00,2024-07-17 00:00:00,3.1,4.369877887326324,279.8478019376132,277.6290624353325,0.0,0.2995765349448179,83063.99626
2023-01-02 00:00:00,2024-07-17 00:00:00,3.1,4.369877887326324,279.8478019376132,277.6290624353325,0.0,0.2995765349448179,84863.98638
2023-01-02 01:00:00,2024-07-17 00:00:00,3.1,3.9125636551585647,279.0333868323512,277.07724390798217,0.0,0.1424361193661678,83463.68535
2023-01-02 02:00:00,2024-07-17 00:00:00,3.1,3.9125636551585647,279.0333868323512,277.07724390798217,0.0,0.1424361193661678,81842.85535
2023-01-02 03:00:00,2024-07-17 00:00:00,3.1,3.9125636551585647,279.0333868323512,277.07724390798217,0.0,0.1424361193661678,80858.2844
2023-01-02 04:00:00,2024-07-17 00:00:00,3.1,3.555976262052443,278.3210960325373,276.52216392024354,0.0,0.2869269100363464,78431.27605
2023-01-02 05:00:00,2024-07-17 00:00:00,3.1,3.555976262052443,278.3210960325373,276.52216392024354,0.0,0.2869269100363464,77346.19185
2023-01-02 06:00:00,2024-07-17 00:00:00,3.1,3.555976262052443,278.3210960325373,276.52216392024354,0.0,0.2869269100363464,76689.09487
2023-01-02 07:00:00,2024-07-17 00:00:00,3.1,3.641793624788447,278.56366995199,276.454743447389,18.64900912098513,0.0957545451982304,74933.15988
2023-01-02 08:00:00,2024-07-17 00:00:00,3.1,3.641793624788447,278.56366995199,276.454743447389,18.64900912098513,0.0957545451982304,73907.93386
2023-01-02 09:00:00,2024-07-17 00:00:00,3.1,3.641793624788447,278.56366995199,276.454743447389,18.64900912098513,0.0957545451982304,74428.62876
2023-01-02 10:00:00,2024-07-17 00:00:00,3.1,4.444367129273531,280.0044172865512,276.5349025970006,84.80307106250221,0.1536870214552447,76317.49668
2023-01-02 11:00:00,2024-07-17 00:00:00,3.1,4.444367129273531,280.0044172865512,276.5349025970006,84.80307106250221,0.1536870214552447,76520.26544
2023-01-02 12:00:00,2024-07-17 00:00:00,3.1,4.444367129273531,280.0044172865512,276.5349025970006,84.80307106250221,0.1536870214552447,75581.39978
2023-01-02 13:00:00,2024-07-17 00:00:00,3.1,4.053645945430613,279.16598247467846,276.5449630419387,99.43135803087394,0.0546429220763854,75369.76626
2023-01-02 14:00:00,2024-07-17 00:00:00,3.1,4.053645945430613,279.16598247467846,276.5449630419387,99.43135803087394,0.0546429220763854,75498.73116
2023-01-02 15:00:00,2024-07-17 00:00:00,3.1,4.053645945430613,279.16598247467846,276.5449630419387,99.43135803087394,0.0546429220763854,75484.64733
2023-01-02 16:00:00,2024-07-17 00:00:00,3.1,4.407907035005572,278.33415339244044,276.4022135343509,50.22803784140416,0.1621164315002146,74808.93053
2023-01-02 17:00:00,2024-07-17 00:00:00,3.1,4.407907035005572,278.33415339244044,276.4022135343509,50.22803784140416,0.1621164315002146,74322.70455
2023-01-02 18:00:00,2024-07-17 00:00:00,3.1,4.407907035005572,278.33415339244044,276.4022135343509,50.22803784140416,0.1621164315002146,73982.35174
2023-01-02 19:00:00,2024-07-17 00:00:00,3.1,5.209754414982708,278.2024333732538,276.3621477486789,0.0,0.2144469284707268,74159.0021
2023-01-02 20:00:00,2024-07-17 00:00:00,3.1,5.209754414982708,278.2024333732538,276.3621477486789,0.0,0.2144469284707268,74731.59611
2023-01-02 21:00:00,2024-07-17 00:00:00,3.1,5.209754414982708,278.2024333732538,276.3621477486789,0.0,0.2144469284707268,75013.13454
2023-01-02 22:00:00,2024-07-17 00:00:00,3.1,6.1008653614747645,278.21322994350896,276.2412272710138,0.0,0.8054651017876597,74419.89449
2023-01-02 23:00:00,2024-07-17 00:00:00,3.1,6.1008653614747645,278.21322994350896,276.2412272710138,0.0,0.8054651017876597,73801.92523
2023-01-03 00:00:00,2024-07-17 00:00:00,3.1,6.1008653614747645,278.21322994350896,276.2412272710138,0.0,0.8054651017876597,71805.83601
2023-01-03 01:00:00,2024-07-17 00:00:00,3.1,6.931081260077361,278.3759099056447,276.33502064853684,0.0,0.9615802750425702,70791.00977
2023-01-03 02:00:00,2024-07-17 00:00:00,3.1,6.931081260077361,278.3759099056447,276.33502064853684,0.0,0.9615802750425702,69571.77229
2023-01-03 03:00:00,2024-07-17 00:00:00,3.1,6.931081260077361,278.3759099056447,276.33502064853684,0.0,0.9615802750425702,68873.26041
2023-01-03 04:00:00,2024-07-17 00:00:00,3.1,7.740226561181893,278.83229453288504,276.5291612685521,0.0,2.290184421195133,66893.00494
2023-01-03 05:00:00,2024-07-17 00:00:00,3.1,7.740226561181893,278.83229453288504,276.5291612685521,0.0,2.290184421195133,66213.32779
2023-01-03 06:00:00,2024-07-17 00:00:00,3.1,7.740226561181893,278.83229453288504,276.5291612685521,0.0,2.290184421195133,65897.02878
2023-01-03 07:00:00,2024-07-17 00:00:00,3.1,8.43590642275134,280.0234642648669,277.3045208296092,13.300377232436023,1.3539898895807725,64507.14671
2023-01-03 08:00:00,2024-07-17 00:00:00,3.1,8.43590642275134,280.0234642648669,277.3045208296092,13.300377232436023,1.3539898895807725,63742.09929
2023-01-03 09:00:00,2024-07-17 00:00:00,3.1,8.43590642275134,280.0234642648669,277.3045208296092,13.300377232436023,1.3539898895807725,64375.99057
2023-01-03 10:00:00,2024-07-17 00:00:00,3.1,8.68442482764192,281.1175414167735,277.93698184730414,37.67208333906379,2.3442582823320186,66261.54284
2023-01-03 11:00:00,2024-07-17 00:00:00,3.1,8.68442482764192,281.1175414167735,277.93698184730414,37.67208333906379,2.3442582823320186,66658.34609
