UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown
2023-10-12 00:00:00,0.0,2426.0,982.0,0.0,203.0,330.0,14.0
2023-10-12 01:00:00,0.0,2425.0,469.0,0.0,212.0,330.0,14.0
2023-10-12 02:00:00,0.0,2323.0,296.0,0.0,234.0,333.0,14.0
2023-10-12 03:00:00,0.0,2314.0,269.0,0.0,229.0,338.0,14.0
2023-10-12 04:00:00,0.0,2302.0,387.0,0.0,309.0,341.0,14.0
2023-10-12 05:00:00,0.0,2342.0,359.0,0.0,433.0,338.0,14.0
2023-10-12 06:00:00,0.0,2388.0,792.0,7.0,536.0,333.0,13.0
2023-10-12 07:00:00,0.0,2121.0,667.0,241.0,687.0,340.0,14.0
2023-10-12 08:00:00,0.0,1622.0,246.0,761.0,834.0,337.0,14.0
2023-10-12 09:00:00,0.0,1175.0,274.0,1194.0,886.0,328.0,13.0
2023-10-12 10:00:00,0.0,1264.0,342.0,1422.0,885.0,331.0,14.0
2023-10-12 11:00:00,0.0,1255.0,366.0,1544.0,977.0,333.0,13.0
2023-10-12 12:00:00,0.0,1174.0,357.0,1569.0,1110.0,337.0,13.0
2023-10-12 13:00:00,0.0,1078.0,343.0,1501.0,1147.0,337.0,13.0
2023-10-12 14:00:00,0.0,1082.0,356.0,1333.0,1051.0,339.0,13.0
2023-10-12 15:00:00,0.0,1102.0,370.0,1033.0,1019.0,345.0,13.0
2023-10-12 16:00:00,0.0,1533.0,591.0,546.0,961.0,346.0,13.0
2023-10-12 17:00:00,0.0,1916.0,1850.0,92.0,993.0,348.0,13.0
2023-10-12 18:00:00,0.0,1947.0,2468.0,0.0,1144.0,348.0,13.0
2023-10-12 19:00:00,0.0,2000.0,1748.0,0.0,1244.0,346.0,13.0
2023-10-12 20:00:00,0.0,1974.0,1490.0,1.0,1437.0,346.0,13.0
2023-10-12 21:00:00,0.0,1818.0,997.0,0.0,1504.0,351.0,14.0
2023-10-12 22:00:00,0.0,1738.0,559.0,0.0,1522.0,349.0,13.0
2023-10-12 23:00:00,0.0,1573.0,468.0,0.0,1572.0,339.0,12.0
