Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
42648,2023-11-13 00:00:00,235.79,270.0,53.0,0.0,0.0,806.0,1.0,1.0,15.0
42649,2023-11-13 01:00:00,256.12,266.0,52.0,0.0,0.0,696.0,1.0,0.0,15.0
42650,2023-11-13 02:00:00,258.6,268.0,52.0,0.0,0.0,690.0,1.0,0.0,14.0
42651,2023-11-13 03:00:00,288.33,314.0,52.0,0.0,0.0,667.0,1.0,0.0,15.0
42652,2023-11-13 04:00:00,298.22,403.0,54.0,0.0,0.0,799.0,2.0,0.0,15.0
42653,2023-11-13 05:00:00,312.64,518.0,58.0,0.0,0.0,940.0,2.0,0.0,15.0
42654,2023-11-13 06:00:00,311.23,527.0,60.0,0.0,0.0,957.0,10.0,0.0,16.0
42655,2023-11-13 07:00:00,307.21,527.0,61.0,0.0,0.0,958.0,34.0,0.0,15.0
42656,2023-11-13 08:00:00,304.04,527.0,60.0,0.0,0.0,956.0,55.0,0.0,15.0
42657,2023-11-13 09:00:00,299.03,522.0,58.0,0.0,0.0,953.0,78.0,0.0,16.0
42658,2023-11-13 10:00:00,301.73,530.0,58.0,0.0,0.0,929.0,103.0,0.0,16.0
42659,2023-11-13 11:00:00,300.61,530.0,57.0,0.0,0.0,922.0,117.0,0.0,16.0
42660,2023-11-13 12:00:00,303.91,529.0,53.0,0.0,0.0,921.0,92.0,0.0,17.0
42661,2023-11-13 13:00:00,305.63,529.0,55.0,0.0,0.0,947.0,55.0,0.0,16.0
42662,2023-11-13 14:00:00,310.2,527.0,59.0,0.0,0.0,950.0,23.0,0.0,16.0
42663,2023-11-13 15:00:00,270.11,406.0,57.0,0.0,12.0,970.0,3.0,1.0,17.0
42664,2023-11-13 16:00:00,233.28,281.0,65.0,0.0,58.0,981.0,2.0,0.0,14.0
42665,2023-11-13 17:00:00,215.93,276.0,66.0,0.0,3.0,969.0,2.0,0.0,15.0
42666,2023-11-13 18:00:00,214.65,275.0,64.0,0.0,0.0,966.0,1.0,0.0,16.0
42667,2023-11-13 19:00:00,212.18,265.0,62.0,0.0,6.0,961.0,1.0,1.0,16.0
42668,2023-11-13 20:00:00,119.71,26.0,121.0,0.0,56.0,984.0,1.0,1.0,15.0
42669,2023-11-13 21:00:00,68.09,9.0,65.0,0.0,3.0,877.0,1.0,0.0,17.0
42670,2023-11-13 22:00:00,63.31,10.0,61.0,0.0,0.0,922.0,1.0,0.0,16.0
42671,2023-11-13 23:00:00,63.33,10.0,54.0,0.0,0.0,840.0,1.0,1.0,15.0
