,UTC time,carbon_intensity,nat_gas,hydro
0,2023-08-05 00:00:00,338.21,207.0,100.0
1,2023-08-05 01:00:00,350.06,233.0,100.0
2,2023-08-05 02:00:00,354.53,244.0,100.0
3,2023-08-05 03:00:00,360.56,260.0,100.0
4,2023-08-05 04:00:00,361.27,262.0,100.0
5,2023-08-05 05:00:00,375.5,307.0,100.0
6,2023-08-05 06:00:00,376.65,308.0,99.0
7,2023-08-05 07:00:00,353.74,242.0,100.0
8,2023-08-05 08:00:00,348.05,226.0,99.0
9,2023-08-05 09:00:00,349.35,229.0,99.0
10,2023-08-05 10:00:00,364.25,230.0,85.0
11,2023-08-05 11:00:00,364.54,228.0,84.0
12,2023-08-05 12:00:00,359.52,216.0,84.0
13,2023-08-05 13:00:00,353.61,203.0,84.0
14,2023-08-05 14:00:00,354.08,204.0,84.0
15,2023-08-05 15:00:00,337.09,172.0,84.0
16,2023-08-05 16:00:00,337.09,172.0,84.0
17,2023-08-05 17:00:00,337.09,172.0,84.0
18,2023-08-05 18:00:00,336.49,171.0,84.0
19,2023-08-05 19:00:00,334.67,168.0,84.0
20,2023-08-05 20:00:00,335.88,172.0,85.0
21,2023-08-05 21:00:00,326.9,182.0,98.0
22,2023-08-05 22:00:00,331.46,192.0,99.0
23,2023-08-05 23:00:00,349.35,229.0,99.0
