,UTC time,carbon_intensity,nat_gas,hydro
0,2023-08-04 00:00:00,333.58,190.0,96.0
1,2023-08-04 01:00:00,339.88,202.0,96.0
2,2023-08-04 02:00:00,340.88,204.0,96.0
3,2023-08-04 03:00:00,356.46,239.0,96.0
4,2023-08-04 04:00:00,362.55,255.0,96.0
5,2023-08-04 05:00:00,355.61,227.0,92.0
6,2023-08-04 06:00:00,352.76,218.0,91.0
7,2023-08-04 07:00:00,339.62,191.0,91.0
8,2023-08-04 08:00:00,331.77,177.0,91.0
9,2023-08-04 09:00:00,332.36,178.0,91.0
10,2023-08-04 10:00:00,335.92,166.0,82.0
11,2023-08-04 11:00:00,339.62,170.0,81.0
12,2023-08-04 12:00:00,349.16,187.0,81.0
13,2023-08-04 13:00:00,356.39,204.0,82.0
14,2023-08-04 14:00:00,356.15,201.0,81.0
15,2023-08-04 15:00:00,341.98,174.0,81.0
16,2023-08-04 16:00:00,337.8,167.0,81.0
17,2023-08-04 17:00:00,333.42,166.0,84.0
18,2023-08-04 18:00:00,333.42,166.0,84.0
19,2023-08-04 19:00:00,333.42,166.0,84.0
20,2023-08-04 20:00:00,332.19,166.0,85.0
21,2023-08-04 21:00:00,322.72,175.0,98.0
22,2023-08-04 22:00:00,321.63,175.0,99.0
23,2023-08-04 23:00:00,335.18,201.0,100.0
