,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
0,2023-08-21 00:00:00,2023-08-23 15:25:34,3.0,325.61,222.0,121.0
1,2023-08-21 01:00:00,2023-08-23 15:25:34,3.0,321.68,214.0,121.0
2,2023-08-21 02:00:00,2023-08-23 15:25:34,3.0,320.55,210.0,120.0
3,2023-08-21 03:00:00,2023-08-23 15:25:34,3.0,321.57,212.0,120.0
4,2023-08-21 04:00:00,2023-08-23 15:25:34,3.0,298.49,172.0,120.0
5,2023-08-21 05:00:00,2023-08-23 15:25:34,3.0,314.21,175.0,106.0
6,2023-08-21 06:00:00,2023-08-23 15:25:34,3.0,315.04,173.0,104.0
7,2023-08-21 07:00:00,2023-08-23 15:25:34,3.0,326.9,169.0,91.0
8,2023-08-21 08:00:00,2023-08-23 15:25:34,3.0,349.25,171.0,74.0
9,2023-08-21 09:00:00,2023-08-23 15:25:34,3.0,353.05,173.0,72.0
10,2023-08-21 10:00:00,2023-08-23 15:25:34,3.0,352.28,174.0,73.0
11,2023-08-21 11:00:00,2023-08-23 15:25:34,3.0,350.01,170.0,73.0
12,2023-08-21 12:00:00,2023-08-23 15:25:34,3.0,348.85,168.0,73.0
13,2023-08-21 13:00:00,2023-08-23 15:25:34,3.0,361.14,191.0,73.0
14,2023-08-21 14:00:00,2023-08-23 15:25:34,3.0,352.57,208.0,87.0
15,2023-08-21 15:00:00,2023-08-23 15:25:34,3.0,354.02,216.0,89.0
16,2023-08-21 16:00:00,2023-08-23 15:25:34,3.0,334.67,178.0,89.0
17,2023-08-21 17:00:00,2023-08-23 15:25:34,3.0,330.48,171.0,89.0
18,2023-08-21 18:00:00,2023-08-23 15:25:34,3.0,343.45,194.0,89.0
19,2023-08-21 19:00:00,2023-08-23 15:25:34,3.0,334.14,197.0,99.0
20,2023-08-21 20:00:00,2023-08-23 15:25:34,3.0,335.16,209.0,104.0
21,2023-08-21 21:00:00,2023-08-23 15:25:34,3.0,333.66,206.0,104.0
22,2023-08-21 22:00:00,2023-08-23 15:25:34,3.0,329.05,199.0,105.0
23,2023-08-21 23:00:00,2023-08-23 15:25:34,3.0,312.62,192.0,118.0
