,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
0,2023-09-02 00:00:00,2023-09-04 18:10:14,3.0,375.36,236.0,77.0
1,2023-09-02 01:00:00,2023-09-04 18:10:14,3.0,360.65,203.0,78.0
2,2023-09-02 02:00:00,2023-09-04 18:10:14,3.0,375.19,208.0,68.0
3,2023-09-02 03:00:00,2023-09-04 18:10:14,3.0,386.81,218.0,62.0
4,2023-09-02 04:00:00,2023-09-04 18:10:14,3.0,425.46,311.0,50.0
5,2023-09-02 05:00:00,2023-09-04 18:10:14,3.0,434.24,309.0,42.0
6,2023-09-02 06:00:00,2023-09-04 18:10:14,3.0,449.42,325.0,31.0
7,2023-09-02 07:00:00,2023-09-04 18:10:14,3.0,448.61,318.0,31.0
8,2023-09-02 08:00:00,2023-09-04 18:10:14,3.0,431.75,217.0,31.0
9,2023-09-02 09:00:00,2023-09-04 18:10:14,3.0,430.06,210.0,31.0
10,2023-09-02 10:00:00,2023-09-04 18:10:14,3.0,430.06,210.0,31.0
11,2023-09-02 11:00:00,2023-09-04 18:10:14,3.0,430.06,210.0,31.0
12,2023-09-02 12:00:00,2023-09-04 18:10:14,3.0,430.55,212.0,31.0
13,2023-09-02 13:00:00,2023-09-04 18:10:14,3.0,432.45,220.0,31.0
14,2023-09-02 14:00:00,2023-09-04 18:10:14,3.0,429.56,208.0,31.0
15,2023-09-02 15:00:00,2023-09-04 18:10:14,3.0,428.0,202.0,31.0
16,2023-09-02 16:00:00,2023-09-04 18:10:14,3.0,425.22,192.0,31.0
17,2023-09-02 17:00:00,2023-09-04 18:10:14,3.0,432.45,220.0,31.0
18,2023-09-02 18:00:00,2023-09-04 18:10:14,3.0,441.36,266.0,31.0
19,2023-09-02 19:00:00,2023-09-04 18:10:14,3.0,435.9,236.0,31.0
20,2023-09-02 20:00:00,2023-09-04 18:10:14,3.0,433.3,231.0,32.0
21,2023-09-02 21:00:00,2023-09-04 18:10:14,3.0,416.97,226.0,42.0
22,2023-09-02 22:00:00,2023-09-04 18:10:14,3.0,405.59,217.0,48.0
23,2023-09-02 23:00:00,2023-09-04 18:10:14,3.0,394.9,234.0,60.0
