UTC time,creation_time (UTC),version,nat_gas,hydro
2023-08-11 00:00:00,2023-08-13 18:27:37,3.0,260.0,122.0
2023-08-11 01:00:00,2023-08-13 18:27:37,3.0,221.0,122.0
2023-08-11 02:00:00,2023-08-13 18:27:37,3.0,230.0,122.0
2023-08-11 03:00:00,2023-08-13 18:27:37,3.0,234.0,122.0
2023-08-11 04:00:00,2023-08-13 18:27:37,3.0,232.0,122.0
2023-08-11 05:00:00,2023-08-13 18:27:37,3.0,215.0,121.0
2023-08-11 06:00:00,2023-08-13 18:27:37,3.0,211.0,122.0
2023-08-11 07:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 08:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 09:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 10:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 11:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 12:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 13:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 14:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 15:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 16:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 17:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 18:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 19:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 20:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 21:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 22:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
2023-08-11 23:00:00,2023-08-13 18:27:37,3.0,196.0,122.0
