,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
0,2023-09-05 00:00:00,2023-09-08 17:38:55,3.0,277.88,181.0,60.0
1,2023-09-05 01:00:00,2023-09-08 17:38:55,3.0,285.15,205.0,61.0
2,2023-09-05 02:00:00,2023-09-08 17:38:55,3.0,298.85,252.0,60.0
3,2023-09-05 03:00:00,2023-09-08 17:38:55,3.0,313.58,339.0,61.0
4,2023-09-05 04:00:00,2023-09-08 17:38:55,3.0,308.0,308.0,62.0
5,2023-09-05 05:00:00,2023-09-08 17:38:55,3.0,294.54,242.0,62.0
6,2023-09-05 06:00:00,2023-09-08 17:38:55,3.0,305.25,231.0,49.0
7,2023-09-05 07:00:00,2023-09-08 17:38:55,3.0,302.85,221.0,49.0
8,2023-09-05 08:00:00,2023-09-08 17:38:55,3.0,304.31,227.0,49.0
9,2023-09-05 09:00:00,2023-09-08 17:38:55,3.0,298.34,204.0,49.0
10,2023-09-05 10:00:00,2023-09-08 17:38:55,3.0,301.06,214.0,49.0
11,2023-09-05 11:00:00,2023-09-08 17:38:55,3.0,287.93,214.0,61.0
12,2023-09-05 12:00:00,2023-09-08 17:38:55,3.0,290.9,228.0,62.0
13,2023-09-05 13:00:00,2023-09-08 17:38:55,3.0,291.97,232.0,62.0
14,2023-09-05 14:00:00,2023-09-08 17:38:55,3.0,299.63,264.0,62.0
15,2023-09-05 15:00:00,2023-09-08 17:38:55,3.0,310.57,324.0,62.0
16,2023-09-05 16:00:00,2023-09-08 17:38:55,3.0,300.06,266.0,62.0
17,2023-09-05 17:00:00,2023-09-08 17:38:55,3.0,291.97,232.0,62.0
18,2023-09-05 18:00:00,2023-09-08 17:38:55,3.0,320.8,313.0,48.0
19,2023-09-05 19:00:00,2023-09-08 17:38:55,3.0,331.24,376.0,44.0
20,2023-09-05 20:00:00,2023-09-08 17:38:55,3.0,342.04,367.0,30.0
21,2023-09-05 21:00:00,2023-09-08 17:38:55,3.0,350.83,366.0,20.0
22,2023-09-05 22:00:00,2023-09-08 17:38:55,3.0,349.04,333.0,20.0
23,2023-09-05 23:00:00,2023-09-08 17:38:55,3.0,349.39,356.0,21.0
