UTC time,creation_time (UTC),version,nat_gas,hydro
2023-08-14 00:00:00,2023-08-21 20:44:56,3.0,339.0,122.0
2023-08-14 01:00:00,2023-08-21 20:44:56,3.0,306.0,122.0
2023-08-14 02:00:00,2023-08-21 20:44:56,3.0,333.0,122.0
2023-08-14 03:00:00,2023-08-21 20:44:56,3.0,316.0,122.0
2023-08-14 04:00:00,2023-08-21 20:44:56,3.0,308.0,122.0
2023-08-14 05:00:00,2023-08-21 20:44:56,3.0,317.0,122.0
2023-08-14 06:00:00,2023-08-21 20:44:56,3.0,267.0,122.0
2023-08-14 07:00:00,2023-08-21 20:44:56,3.0,224.0,122.0
2023-08-14 08:00:00,2023-08-21 20:44:56,3.0,229.0,122.0
2023-08-14 09:00:00,2023-08-21 20:44:56,3.0,226.0,122.0
2023-08-14 10:00:00,2023-08-21 20:44:56,3.0,220.0,122.0
2023-08-14 11:00:00,2023-08-21 20:44:56,3.0,214.0,122.0
2023-08-14 12:00:00,2023-08-21 20:44:56,3.0,212.0,122.0
2023-08-14 13:00:00,2023-08-21 20:44:56,3.0,228.0,122.0
2023-08-14 14:00:00,2023-08-21 20:44:56,3.0,234.0,122.0
2023-08-14 15:00:00,2023-08-21 20:44:56,3.0,212.0,122.0
2023-08-14 16:00:00,2023-08-21 20:44:56,3.0,223.0,122.0
2023-08-14 17:00:00,2023-08-21 20:44:56,3.0,277.0,122.0
2023-08-14 18:00:00,2023-08-21 20:44:56,3.0,277.0,122.0
2023-08-14 19:00:00,2023-08-21 20:44:56,3.0,305.0,122.0
2023-08-14 20:00:00,2023-08-21 20:44:56,3.0,345.0,122.0
2023-08-14 21:00:00,2023-08-21 20:44:56,3.0,336.0,122.0
2023-08-14 22:00:00,2023-08-21 20:44:56,3.0,299.0,122.0
2023-08-14 23:00:00,2023-08-21 20:44:56,3.0,321.0,122.0
