UTC time,nat_gas,hydro
2023-08-01 00:00:00,371.0,100.0
2023-08-01 01:00:00,344.0,100.0
2023-08-01 02:00:00,265.0,100.0
2023-08-01 03:00:00,353.0,100.0
2023-08-01 04:00:00,358.0,100.0
2023-08-01 05:00:00,333.0,100.0
2023-08-01 06:00:00,316.0,100.0
2023-08-01 07:00:00,239.0,99.0
2023-08-01 08:00:00,222.0,99.0
2023-08-01 09:00:00,212.0,86.0
2023-08-01 10:00:00,225.0,84.0
2023-08-01 11:00:00,222.0,84.0
2023-08-01 12:00:00,222.0,84.0
2023-08-01 13:00:00,236.0,84.0
2023-08-01 14:00:00,239.0,84.0
2023-08-01 15:00:00,222.0,84.0
2023-08-01 16:00:00,218.0,84.0
2023-08-01 17:00:00,232.0,84.0
2023-08-01 18:00:00,224.0,84.0
2023-08-01 19:00:00,216.0,98.0
2023-08-01 20:00:00,224.0,99.0
2023-08-01 21:00:00,244.0,99.0
2023-08-01 22:00:00,268.0,100.0
2023-08-01 23:00:00,316.0,100.0
