UTC time,creation_time (UTC),version,nat_gas,hydro
2023-08-19 00:00:00,2023-08-20 22:01:18,3.0,206.0,120.0
2023-08-19 01:00:00,2023-08-20 22:01:18,3.0,228.0,120.0
2023-08-19 02:00:00,2023-08-20 22:01:18,3.0,220.0,120.0
2023-08-19 03:00:00,2023-08-20 22:01:18,3.0,224.0,120.0
2023-08-19 04:00:00,2023-08-20 22:01:18,3.0,194.0,120.0
2023-08-19 05:00:00,2023-08-20 22:01:18,3.0,196.0,119.0
2023-08-19 06:00:00,2023-08-20 22:01:18,3.0,213.0,119.0
2023-08-19 07:00:00,2023-08-20 22:01:18,3.0,199.0,120.0
2023-08-19 08:00:00,2023-08-20 22:01:18,3.0,206.0,120.0
2023-08-19 09:00:00,2023-08-20 22:01:18,3.0,196.0,120.0
2023-08-19 10:00:00,2023-08-20 22:01:18,3.0,196.0,119.0
2023-08-19 11:00:00,2023-08-20 22:01:18,3.0,196.0,105.0
2023-08-19 12:00:00,2023-08-20 22:01:18,3.0,196.0,90.0
2023-08-19 13:00:00,2023-08-20 22:01:18,3.0,196.0,89.0
2023-08-19 14:00:00,2023-08-20 22:01:18,3.0,185.0,89.0
2023-08-19 15:00:00,2023-08-20 22:01:18,3.0,181.0,89.0
2023-08-19 16:00:00,2023-08-20 22:01:18,3.0,179.0,88.0
2023-08-19 17:00:00,2023-08-20 22:01:18,3.0,172.0,89.0
2023-08-19 18:00:00,2023-08-20 22:01:18,3.0,164.0,88.0
2023-08-19 19:00:00,2023-08-20 22:01:18,3.0,165.0,89.0
2023-08-19 20:00:00,2023-08-20 22:01:18,3.0,166.0,89.0
2023-08-19 21:00:00,2023-08-20 22:01:18,3.0,161.0,104.0
2023-08-19 22:00:00,2023-08-20 22:01:18,3.0,161.0,118.0
2023-08-19 23:00:00,2023-08-20 22:01:18,3.0,178.0,119.0
