Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
40176,2023-08-02 00:00:00,34.86,48.0,23.0,0.0,397.0,88.0,3.0
40177,2023-08-02 01:00:00,38.81,48.0,23.0,0.0,340.0,88.0,3.0
40178,2023-08-02 02:00:00,46.28,48.0,23.0,5.0,254.0,88.0,3.0
40179,2023-08-02 03:00:00,45.74,48.0,23.0,34.0,230.0,88.0,3.0
40180,2023-08-02 04:00:00,43.11,48.0,23.0,50.0,239.0,89.0,3.0
40181,2023-08-02 05:00:00,82.5,48.0,23.0,95.0,205.0,89.0,41.0
40182,2023-08-02 06:00:00,77.41,48.0,23.0,115.0,218.0,89.0,41.0
40183,2023-08-02 07:00:00,70.29,47.0,23.0,153.0,238.0,88.0,42.0
40184,2023-08-02 08:00:00,49.14,48.0,23.0,278.0,299.0,88.0,35.0
40185,2023-08-02 09:00:00,41.05,48.0,23.0,345.0,384.0,88.0,35.0
40186,2023-08-02 10:00:00,38.2,47.0,23.0,386.0,374.0,89.0,33.0
40187,2023-08-02 11:00:00,40.46,47.0,23.0,383.0,337.0,89.0,34.0
40188,2023-08-02 12:00:00,40.82,47.0,23.0,388.0,325.0,88.0,34.0
40189,2023-08-02 13:00:00,46.91,47.0,23.0,365.0,300.0,86.0,40.0
40190,2023-08-02 14:00:00,56.55,46.0,23.0,277.0,253.0,87.0,42.0
40191,2023-08-02 15:00:00,71.99,47.0,23.0,189.0,195.0,88.0,43.0
40192,2023-08-02 16:00:00,110.25,47.0,23.0,86.0,95.0,88.0,43.0
40193,2023-08-02 17:00:00,165.35,47.0,23.0,22.0,54.0,88.0,52.0
40194,2023-08-02 18:00:00,171.52,47.0,23.0,1.0,60.0,88.0,50.0
40195,2023-08-02 19:00:00,131.72,47.0,23.0,0.0,112.0,88.0,41.0
40196,2023-08-02 20:00:00,93.88,47.0,23.0,0.0,222.0,88.0,38.0
40197,2023-08-02 21:00:00,73.0,47.0,23.0,0.0,314.0,88.0,34.0
40198,2023-08-02 22:00:00,65.67,47.0,23.0,0.0,370.0,73.0,32.0
40199,2023-08-02 23:00:00,54.55,47.0,23.0,0.0,463.0,72.0,30.0
