UTC time,nat_gas,hydro,solar,wind,biomass,unknown
2023-02-02 00:00:00,24.0,47.0,0.0,125.0,87.0,8.0
2023-02-02 01:00:00,24.0,47.0,0.0,109.0,87.0,9.0
2023-02-02 02:00:00,24.0,47.0,0.0,114.0,86.0,9.0
2023-02-02 03:00:00,24.0,55.0,0.0,122.0,86.0,9.0
2023-02-02 04:00:00,24.0,47.0,0.0,129.0,86.0,9.0
2023-02-02 05:00:00,25.0,93.0,0.0,97.0,86.0,10.0
2023-02-02 06:00:00,26.0,97.0,1.0,85.0,85.0,10.0
2023-02-02 07:00:00,26.0,96.0,4.0,68.0,86.0,9.0
2023-02-02 08:00:00,26.0,96.0,9.0,72.0,86.0,10.0
2023-02-02 09:00:00,25.0,90.0,13.0,87.0,86.0,11.0
2023-02-02 10:00:00,24.0,92.0,13.0,118.0,86.0,11.0
2023-02-02 11:00:00,24.0,94.0,13.0,130.0,85.0,11.0
2023-02-02 12:00:00,24.0,88.0,14.0,167.0,86.0,9.0
2023-02-02 13:00:00,25.0,88.0,8.0,243.0,86.0,9.0
2023-02-02 14:00:00,25.0,88.0,2.0,278.0,86.0,9.0
2023-02-02 15:00:00,24.0,96.0,0.0,298.0,86.0,8.0
2023-02-02 16:00:00,24.0,97.0,0.0,321.0,86.0,9.0
2023-02-02 17:00:00,24.0,97.0,0.0,292.0,86.0,9.0
2023-02-02 18:00:00,25.0,96.0,0.0,256.0,86.0,9.0
2023-02-02 19:00:00,25.0,93.0,0.0,255.0,86.0,9.0
2023-02-02 20:00:00,25.0,87.0,0.0,242.0,87.0,10.0
2023-02-02 21:00:00,25.0,68.0,0.0,218.0,87.0,10.0
2023-02-02 22:00:00,25.0,68.0,0.0,165.0,87.0,10.0
2023-02-02 23:00:00,25.0,86.0,0.0,179.0,87.0,9.0
