Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
41472,2023-09-25 00:00:00,263.23,53.0,21.0,0.0,49.0,62.0,17.0
41473,2023-09-25 01:00:00,312.26,53.0,21.0,0.0,29.0,62.0,27.0
41474,2023-09-25 02:00:00,315.42,54.0,21.0,0.0,20.0,62.0,21.0
41475,2023-09-25 03:00:00,302.92,54.0,21.0,20.0,17.0,61.0,26.0
41476,2023-09-25 04:00:00,296.96,55.0,21.0,28.0,19.0,61.0,29.0
41477,2023-09-25 05:00:00,261.02,55.0,21.0,88.0,26.0,60.0,45.0
41478,2023-09-25 06:00:00,192.51,54.0,21.0,193.0,31.0,61.0,38.0
41479,2023-09-25 07:00:00,171.92,53.0,21.0,272.0,18.0,62.0,38.0
41480,2023-09-25 08:00:00,152.77,53.0,21.0,321.0,12.0,61.0,30.0
41481,2023-09-25 09:00:00,146.51,53.0,21.0,322.0,22.0,61.0,27.0
41482,2023-09-25 10:00:00,148.3,56.0,21.0,336.0,21.0,62.0,29.0
41483,2023-09-25 11:00:00,143.67,56.0,21.0,352.0,19.0,62.0,27.0
41484,2023-09-25 12:00:00,150.66,54.0,21.0,318.0,13.0,62.0,27.0
41485,2023-09-25 13:00:00,160.25,53.0,21.0,283.0,6.0,62.0,27.0
41486,2023-09-25 14:00:00,208.48,53.0,22.0,178.0,4.0,62.0,36.0
41487,2023-09-25 15:00:00,261.09,53.0,22.0,101.0,3.0,61.0,40.0
41488,2023-09-25 16:00:00,348.9,53.0,22.0,24.0,13.0,61.0,53.0
41489,2023-09-25 17:00:00,307.64,53.0,22.0,23.0,44.0,61.0,52.0
41490,2023-09-25 18:00:00,255.55,53.0,21.0,10.0,105.0,61.0,49.0
41491,2023-09-25 19:00:00,182.64,53.0,21.0,0.0,177.0,62.0,28.0
41492,2023-09-25 20:00:00,149.1,53.0,22.0,0.0,231.0,62.0,21.0
41493,2023-09-25 21:00:00,128.9,53.0,21.0,0.0,288.0,61.0,19.0
41494,2023-09-25 22:00:00,125.78,53.0,22.0,0.0,290.0,62.0,17.0
41495,2023-09-25 23:00:00,122.73,53.0,22.0,0.0,296.0,61.0,16.0
