UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-01T00,421,1696,7,590,0,3352,7098,407
2023-03-01T01,325,1717,7,604,0,3343,6476,408
2023-03-01T02,289,1313,7,607,0,3341,6066,400
2023-03-01T03,287,968,7,609,0,3343,5662,363
2023-03-01T04,329,786,7,600,0,3348,5228,362
2023-03-01T05,355,766,7,575,0,3345,4633,329
2023-03-01T06,389,754,7,542,0,3335,3976,190
2023-03-01T07,429,741,7,543,0,3347,3586,113
2023-03-01T08,470,724,7,535,0,3355,3655,22
2023-03-01T09,387,724,7,525,0,3360,4160,10
2023-03-01T10,382,729,7,532,0,3366,4167,11
2023-03-01T11,366,894,7,516,0,3372,4853,16
2023-03-01T12,411,1504,8,514,0,3385,5482,7
2023-03-01T13,413,1524,26,520,0,3361,5910,10
2023-03-01T14,378,1139,68,513,0,3345,5910,9
2023-03-01T15,260,761,131,504,0,3338,5768,11
2023-03-01T16,167,668,217,507,0,3354,5427,10
2023-03-01T17,114,668,278,501,0,3361,5255,5
2023-03-01T18,84,666,290,506,0,3361,5570,6
2023-03-01T19,51,674,221,511,0,3375,6191,2
2023-03-01T20,30,663,155,522,0,3365,6321,6
2023-03-01T21,37,763,75,516,0,3382,6722,4
2023-03-01T22,74,982,27,519,12,3379,7321,14
2023-03-01T23,123,1385,9,514,0,3367,7501,14
