UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-03T00,408,1900,7,571,0,3363,6925,7
2023-03-03T01,450,1528,7,560,0,3346,6794,5
2023-03-03T02,510,1139,7,549,0,3344,6496,3
2023-03-03T03,543,981,7,563,0,3343,5982,7
2023-03-03T04,603,921,7,571,0,3334,5114,4
2023-03-03T05,631,710,7,577,0,3352,4408,7
2023-03-03T06,669,638,7,576,0,3354,4640,8
2023-03-03T07,708,626,7,573,0,3349,4535,10
2023-03-03T08,743,640,7,573,0,3350,4443,7
2023-03-03T09,757,637,7,575,0,3361,4474,7
2023-03-03T10,796,634,7,587,0,3364,4627,6
2023-03-03T11,823,682,7,591,0,3368,5060,4
2023-03-03T12,818,1098,13,595,0,3372,5293,5
2023-03-03T13,806,1163,89,594,0,3340,5309,6
2023-03-03T14,613,882,227,590,0,3350,4614,3
2023-03-03T15,470,841,320,594,0,3354,4380,6
2023-03-03T16,377,720,342,588,0,3332,4063,6
2023-03-03T17,313,686,391,594,0,3351,3683,7
2023-03-03T18,218,685,374,594,0,3353,3894,5
2023-03-03T19,194,686,344,600,0,3364,4057,5
2023-03-03T20,165,733,236,602,12,3375,4926,6
2023-03-03T21,125,769,159,606,6,3381,5454,6
2023-03-03T22,101,1074,71,608,0,3386,6218,10
2023-03-03T23,127,1925,13,608,0,3382,6658,5
