UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-02T00,189,1581,7,530,0,3350,7392,15
2023-03-02T01,223,1357,7,514,0,3354,7222,16
2023-03-02T02,258,1111,7,512,0,3357,7165,11
2023-03-02T03,327,867,7,498,0,3347,6810,9
2023-03-02T04,326,697,7,500,0,3348,5892,8
2023-03-02T05,319,682,7,498,0,3344,5413,10
2023-03-02T06,244,616,7,503,0,3356,5361,10
2023-03-02T07,249,622,7,490,0,3354,5181,11
2023-03-02T08,245,635,7,500,0,3357,5040,13
2023-03-02T09,246,633,7,499,0,3354,4989,15
2023-03-02T10,262,635,7,503,0,3363,5059,11
2023-03-02T11,296,705,7,510,0,3365,5417,11
2023-03-02T12,351,855,7,507,0,3378,5980,7
2023-03-02T13,373,1044,9,521,0,3373,6640,15
2023-03-02T14,378,1376,17,507,0,3359,6675,18
2023-03-02T15,398,1339,33,508,0,3355,6776,12
2023-03-02T16,340,1313,60,505,0,3345,6715,10
2023-03-02T17,295,915,91,507,0,3345,6610,10
2023-03-02T18,304,741,91,503,0,3351,6424,10
2023-03-02T19,295,736,112,496,0,3352,6133,13
2023-03-02T20,303,740,134,500,0,3352,5927,10
2023-03-02T21,296,764,130,521,0,3363,6204,9
2023-03-02T22,307,881,75,557,0,3373,6528,7
2023-03-02T23,332,1554,15,572,0,3374,6843,3
