UTC time,nat_gas,coal,wind
2019-01-01 00:00:00,673.0,2178.0,266.0
2019-01-01 01:00:00,674.0,2129.0,331.0
2019-01-01 02:00:00,675.0,2066.0,390.0
2019-01-01 03:00:00,668.0,2009.0,356.0
2019-01-01 04:00:00,674.0,1981.0,308.0
2019-01-01 05:00:00,673.0,1843.0,282.0
2019-01-01 06:00:00,687.0,1805.0,284.0
2019-01-01 07:00:00,668.0,1841.0,266.0
2019-01-01 08:00:00,667.0,1800.0,238.0
2019-01-01 09:00:00,668.0,1768.0,216.0
2019-01-01 10:00:00,673.0,1760.0,199.0
2019-01-01 11:00:00,680.0,1842.0,221.0
2019-01-01 12:00:00,732.0,2075.0,220.0
2019-01-01 13:00:00,764.0,2228.0,199.0
2019-01-01 14:00:00,785.0,2287.0,156.0
2019-01-01 15:00:00,749.0,2290.0,122.0
2019-01-01 16:00:00,881.0,2288.0,96.0
2019-01-01 17:00:00,954.0,2290.0,59.0
2019-01-01 18:00:00,978.0,2279.0,49.0
2019-01-01 19:00:00,985.0,2270.0,26.0
2019-01-01 20:00:00,950.0,2285.0,25.0
2019-01-01 21:00:00,956.0,2288.0,27.0
2019-01-01 22:00:00,872.0,2292.0,20.0
2019-01-01 23:00:00,888.0,2295.0,18.0
2019-01-02 00:00:00,917.0,2299.0,1.0
2019-01-02 01:00:00,775.0,2304.0,0.0
2019-01-02 02:00:00,800.0,2300.0,0.0
2019-01-02 03:00:00,768.0,2300.0,0.0
2019-01-02 04:00:00,847.0,2295.0,0.0
2019-01-02 05:00:00,825.0,2297.0,0.0
2019-01-02 06:00:00,762.0,2291.0,0.0
2019-01-02 07:00:00,723.0,2260.0,0.0
2019-01-02 08:00:00,706.0,2216.0,5.0
2019-01-02 09:00:00,705.0,2190.0,4.0
2019-01-02 10:00:00,704.0,2169.0,5.0
2019-01-02 11:00:00,709.0,2246.0,9.0
2019-01-02 12:00:00,764.0,2289.0,17.0
2019-01-02 13:00:00,758.0,2305.0,37.0
2019-01-02 14:00:00,951.0,2303.0,49.0
2019-01-02 15:00:00,912.0,2297.0,46.0
2019-01-02 16:00:00,989.0,2306.0,78.0
2019-01-02 17:00:00,997.0,2300.0,81.0
2019-01-02 18:00:00,983.0,2305.0,77.0
2019-01-02 19:00:00,940.0,2305.0,108.0
2019-01-02 20:00:00,979.0,2310.0,21.0
2019-01-02 21:00:00,924.0,2357.0,22.0
2019-01-02 22:00:00,945.0,2346.0,0.0
2019-01-02 23:00:00,944.0,2335.0,17.0
2019-01-03 00:00:00,957.0,2356.0,61.0
2019-01-03 01:00:00,894.0,2335.0,69.0
2019-01-03 02:00:00,942.0,2341.0,30.0
2019-01-03 03:00:00,886.0,2342.0,41.0
2019-01-03 04:00:00,894.0,2338.0,35.0
2019-01-03 05:00:00,865.0,2344.0,40.0
2019-01-03 06:00:00,746.0,2341.0,42.0
2019-01-03 07:00:00,715.0,2213.0,41.0
2019-01-03 08:00:00,767.0,2123.0,65.0
2019-01-03 09:00:00,726.0,2118.0,70.0
2019-01-03 10:00:00,701.0,2247.0,111.0
2019-01-03 11:00:00,753.0,2319.0,94.0
2019-01-03 12:00:00,802.0,2331.0,0.0
2019-01-03 13:00:00,829.0,2340.0,59.0
2019-01-03 14:00:00,885.0,2326.0,1.0
2019-01-03 15:00:00,899.0,2300.0,8.0
2019-01-03 16:00:00,886.0,2299.0,0.0
2019-01-03 17:00:00,847.0,2304.0,24.0
2019-01-03 18:00:00,908.0,2309.0,15.0
2019-01-03 19:00:00,865.0,2300.0,18.0
2019-01-03 20:00:00,943.0,2302.0,2.0
2019-01-03 21:00:00,936.0,2299.0,0.0
2019-01-03 22:00:00,870.0,2308.0,0.0
2019-01-03 23:00:00,878.0,2336.0,4.0
2019-01-04 00:00:00,863.0,2333.0,34.0
2019-01-04 01:00:00,910.0,2335.0,2.0
2019-01-04 02:00:00,895.0,2340.0,1.0
2019-01-04 03:00:00,781.0,2336.0,12.0
2019-01-04 04:00:00,847.0,2341.0,10.0
2019-01-04 05:00:00,716.0,2283.0,10.0
2019-01-04 06:00:00,696.0,2121.0,2.0
2019-01-04 07:00:00,708.0,2021.0,1.0
2019-01-04 08:00:00,687.0,1977.0,10.0
2019-01-04 09:00:00,688.0,1921.0,16.0
2019-01-04 10:00:00,688.0,1898.0,31.0
2019-01-04 11:00:00,688.0,1928.0,85.0
2019-01-04 12:00:00,688.0,2114.0,62.0
2019-01-04 13:00:00,691.0,2225.0,55.0
2019-01-04 14:00:00,839.0,2327.0,62.0
2019-01-04 15:00:00,894.0,2331.0,111.0
2019-01-04 16:00:00,884.0,2334.0,102.0
2019-01-04 17:00:00,822.0,2329.0,21.0
2019-01-04 18:00:00,855.0,2330.0,7.0
2019-01-04 19:00:00,796.0,2342.0,20.0
2019-01-04 20:00:00,797.0,2333.0,12.0
2019-01-04 21:00:00,741.0,2346.0,45.0
2019-01-04 22:00:00,853.0,2332.0,33.0
2019-01-04 23:00:00,898.0,2339.0,17.0
2019-01-05 00:00:00,865.0,2329.0,52.0
2019-01-05 01:00:00,916.0,2327.0,75.0
2019-01-05 02:00:00,910.0,2334.0,88.0
2019-01-05 03:00:00,865.0,2334.0,106.0
2019-01-05 04:00:00,689.0,2259.0,106.0
2019-01-05 05:00:00,668.0,2091.0,115.0
2019-01-05 06:00:00,664.0,1866.0,122.0
2019-01-05 07:00:00,651.0,1772.0,99.0
2019-01-05 08:00:00,651.0,1860.0,98.0
2019-01-05 09:00:00,651.0,1864.0,52.0
2019-01-05 10:00:00,651.0,1923.0,32.0
2019-01-05 11:00:00,652.0,1987.0,38.0
2019-01-05 12:00:00,670.0,2098.0,32.0
2019-01-05 13:00:00,773.0,2278.0,27.0
2019-01-05 14:00:00,914.0,2310.0,19.0
2019-01-05 15:00:00,825.0,2304.0,49.0
2019-01-05 16:00:00,876.0,2225.0,12.0
2019-01-05 17:00:00,763.0,2136.0,4.0
2019-01-05 18:00:00,756.0,1967.0,0.0
2019-01-05 19:00:00,786.0,1891.0,2.0
2019-01-05 20:00:00,901.0,1679.0,6.0
2019-01-05 21:00:00,875.0,1588.0,4.0
2019-01-05 22:00:00,783.0,1598.0,1.0
2019-01-05 23:00:00,831.0,1594.0,4.0
2019-01-06 00:00:00,899.0,1603.0,18.0
2019-01-06 01:00:00,861.0,1594.0,46.0
2019-01-06 02:00:00,775.0,1594.0,63.0
2019-01-06 03:00:00,665.0,1583.0,133.0
2019-01-06 04:00:00,664.0,1498.0,154.0
2019-01-06 05:00:00,660.0,1398.0,148.0
2019-01-06 06:00:00,659.0,1281.0,143.0
2019-01-06 07:00:00,661.0,1039.0,142.0
2019-01-06 08:00:00,657.0,1151.0,136.0
2019-01-06 09:00:00,656.0,1141.0,137.0
2019-01-06 10:00:00,652.0,1140.0,145.0
2019-01-06 11:00:00,652.0,1137.0,187.0
2019-01-06 12:00:00,657.0,1126.0,245.0
2019-01-06 13:00:00,655.0,1168.0,305.0
2019-01-06 14:00:00,654.0,1271.0,319.0
2019-01-06 15:00:00,651.0,1425.0,339.0
2019-01-06 16:00:00,546.0,1371.0,349.0
2019-01-06 17:00:00,340.0,1474.0,374.0
2019-01-06 18:00:00,313.0,1388.0,344.0
2019-01-06 19:00:00,314.0,1328.0,348.0
2019-01-06 20:00:00,313.0,1165.0,373.0
2019-01-06 21:00:00,313.0,1149.0,385.0
2019-01-06 22:00:00,314.0,1122.0,428.0
2019-01-06 23:00:00,313.0,1176.0,427.0
2019-01-07 00:00:00,313.0,1345.0,414.0
2019-01-07 01:00:00,314.0,1418.0,421.0
