UTC time,nat_gas,solar
2023-11-27 00:00:00,574.0,78.0
2023-11-27 01:00:00,710.0,41.0
2023-11-27 02:00:00,734.0,39.0
2023-11-27 03:00:00,798.0,7.0
2023-11-27 04:00:00,796.0,0.0
2023-11-27 05:00:00,770.0,0.0
2023-11-27 06:00:00,710.0,0.0
2023-11-27 07:00:00,633.0,0.0
2023-11-27 08:00:00,533.0,0.0
2023-11-27 09:00:00,501.0,0.0
2023-11-27 10:00:00,495.0,0.0
2023-11-27 11:00:00,502.0,0.0
2023-11-27 12:00:00,531.0,0.0
2023-11-27 13:00:00,587.0,0.0
2023-11-27 14:00:00,660.0,0.0
2023-11-27 15:00:00,646.0,12.0
2023-11-27 16:00:00,611.0,21.0
2023-11-27 17:00:00,531.0,32.0
2023-11-27 18:00:00,546.0,31.0
2023-11-27 19:00:00,554.0,51.0
2023-11-27 20:00:00,541.0,54.0
2023-11-27 21:00:00,542.0,57.0
2023-11-27 22:00:00,473.0,63.0
2023-11-27 23:00:00,540.0,82.0
