Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
40416,2023-08-12 00:00:00,2024-07-17 00:00:00,3.1,315.75,972.0,167.0
40417,2023-08-12 01:00:00,2024-07-17 00:00:00,3.1,327.46,939.0,122.0
40418,2023-08-12 02:00:00,2024-07-17 00:00:00,3.1,346.62,919.0,62.0
40419,2023-08-12 03:00:00,2024-07-17 00:00:00,3.1,351.87,912.0,47.0
40420,2023-08-12 04:00:00,2024-07-17 00:00:00,3.1,357.94,920.0,31.0
40421,2023-08-12 05:00:00,2024-07-17 00:00:00,3.1,367.07,878.0,7.0
40422,2023-08-12 06:00:00,2024-07-17 00:00:00,3.1,369.58,873.0,1.0
40423,2023-08-12 07:00:00,2024-07-17 00:00:00,3.1,370.0,831.0,0.0
40424,2023-08-12 08:00:00,2024-07-17 00:00:00,3.1,370.0,747.0,0.0
40425,2023-08-12 09:00:00,2024-07-17 00:00:00,3.1,370.0,693.0,0.0
40426,2023-08-12 10:00:00,2024-07-17 00:00:00,3.1,370.0,556.0,0.0
40427,2023-08-12 11:00:00,2024-07-17 00:00:00,3.1,370.0,527.0,0.0
40428,2023-08-12 12:00:00,2024-07-17 00:00:00,3.1,370.0,524.0,0.0
40429,2023-08-12 13:00:00,2024-07-17 00:00:00,3.1,370.0,532.0,0.0
40430,2023-08-12 14:00:00,2024-07-17 00:00:00,3.1,356.86,516.0,19.0
40431,2023-08-12 15:00:00,2024-07-17 00:00:00,3.1,311.48,495.0,93.0
40432,2023-08-12 16:00:00,2024-07-17 00:00:00,3.1,270.15,441.0,163.0
40433,2023-08-12 17:00:00,2024-07-17 00:00:00,3.1,229.8,436.0,266.0
40434,2023-08-12 18:00:00,2024-07-17 00:00:00,3.1,241.45,509.0,271.0
40435,2023-08-12 19:00:00,2024-07-17 00:00:00,3.1,256.22,608.0,270.0
40436,2023-08-12 20:00:00,2024-07-17 00:00:00,3.1,265.48,635.0,250.0
40437,2023-08-12 21:00:00,2024-07-17 00:00:00,3.1,299.12,844.0,200.0
40438,2023-08-12 22:00:00,2024-07-17 00:00:00,3.1,304.63,890.0,191.0
40439,2023-08-12 23:00:00,2024-07-17 00:00:00,3.1,308.83,939.0,186.0
