,UTC time,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
0,2020-01-01 00:00:00,69.56,888,1148,7760,0.0,1675,229
1,2020-01-01 01:00:00,68.01,890,1151,8057,0.0,1731,225
2,2020-01-01 02:00:00,67.4,886,1152,8064,0.0,1860,228
3,2020-01-01 03:00:00,67.37,887,1152,8418,0.0,1567,225
4,2020-01-01 04:00:00,69.83,885,1155,7858,0.0,1442,222
5,2020-01-01 05:00:00,71.97,886,1153,7199,0.0,1605,226
6,2020-01-01 06:00:00,72.51,860,1151,6811,0.0,1608,223
7,2020-01-01 07:00:00,59.46,396,1152,4840,0.0,1770,221
8,2020-01-01 08:00:00,59.17,383,1150,4418,0.0,1974,218
9,2020-01-01 09:00:00,56.92,385,1152,4553,0.0,2279,217
10,2020-01-01 10:00:00,57.68,383,1152,4773,0.0,2030,222
11,2020-01-01 11:00:00,59.63,419,1149,4942,0.0,1820,217
12,2020-01-01 12:00:00,70.29,620,1147,4711,0.0,1909,219
13,2020-01-01 13:00:00,77.78,742,1143,4330,0.0,2017,220
14,2020-01-01 14:00:00,78.45,879,1144,4711,0.0,2369,210
15,2020-01-01 15:00:00,74.48,882,1147,5395,0.0,2364,204
16,2020-01-01 16:00:00,73.65,887,1150,5637,0.0,2396,210
17,2020-01-01 17:00:00,72.83,887,1157,6151,0.0,2139,212
18,2020-01-01 18:00:00,72.89,888,1154,5751,0.0,2343,201
19,2020-01-01 19:00:00,71.15,887,1149,5856,0.0,2610,206
20,2020-01-01 20:00:00,71.14,887,1149,5798,1.0,2635,204
21,2020-01-01 21:00:00,71.44,886,1152,5830,1.0,2569,206
22,2020-01-01 22:00:00,71.82,887,1153,5628,1.0,2625,202
23,2020-01-01 23:00:00,72.05,886,1150,5664,2.0,2604,207
24,2020-01-02 00:00:00,71.19,890,1154,6035,1.0,2520,210
25,2020-01-02 01:00:00,68.17,888,1155,6646,0.0,2515,202
26,2020-01-02 02:00:00,66.69,891,1159,7116,0.0,2340,190
27,2020-01-02 03:00:00,68.5,891,1160,7196,0.0,2051,203
28,2020-01-02 04:00:00,70.49,891,1160,6893,0.0,1935,206
29,2020-01-02 05:00:00,71.8,893,1159,6128,0.0,2323,207
30,2020-01-02 06:00:00,71.97,891,1157,5886,0.0,2410,201
31,2020-01-02 07:00:00,74.44,894,1157,5316,0.0,2492,203
32,2020-01-02 08:00:00,77.4,894,1156,5112,0.0,2190,201
33,2020-01-02 09:00:00,80.61,897,1157,4553,0.0,2248,204
34,2020-01-02 10:00:00,78.99,895,1158,4486,0.0,2440,197
35,2020-01-02 11:00:00,78.94,896,1159,4542,0.0,2434,200
36,2020-01-02 12:00:00,78.76,898,1163,4601,0.0,2410,199
37,2020-01-02 13:00:00,77.97,899,1165,4742,0.0,2438,202
38,2020-01-02 14:00:00,75.04,897,1166,5260,0.0,2453,203
39,2020-01-02 15:00:00,70.91,899,1165,6446,0.0,2396,219
40,2020-01-02 16:00:00,69.73,900,1166,6830,0.0,2401,226
41,2020-01-02 17:00:00,69.1,897,1165,7142,1.0,2121,213
42,2020-01-02 18:00:00,70.29,897,1165,7026,1.0,2024,217
43,2020-01-02 19:00:00,71.45,896,1165,7145,2.0,1778,224
44,2020-01-02 20:00:00,73.7,897,1163,7483,1.0,1106,223
45,2020-01-02 21:00:00,75.08,895,1162,7355,1.0,924,219
46,2020-01-02 22:00:00,77.41,894,1161,7090,1.0,789,222
47,2020-01-02 23:00:00,77.72,896,1162,7462,1.0,463,223
48,2020-01-03 00:00:00,77.76,900,1162,7531,1.0,399,220
49,2020-01-03 01:00:00,77.31,998,1163,8329,0.0,445,221
50,2020-01-03 02:00:00,75.37,1003,1163,8909,0.0,322,218
51,2020-01-03 03:00:00,76.61,1002,1160,8779,0.0,212,219
52,2020-01-03 04:00:00,78.22,999,1160,8386,0.0,230,218
53,2020-01-03 05:00:00,80.04,1000,1160,7953,0.0,315,220
54,2020-01-03 06:00:00,83.82,996,1160,7095,0.0,478,224
55,2020-01-03 07:00:00,82.64,896,1161,6256,0.0,604,206
56,2020-01-03 08:00:00,87.09,888,1161,5392,0.0,777,210
57,2020-01-03 09:00:00,86.79,889,1161,5286,0.0,896,209
58,2020-01-03 10:00:00,87.5,890,1160,5206,0.0,866,206
59,2020-01-03 11:00:00,88.03,888,1161,5223,0.0,791,207
60,2020-01-03 12:00:00,88.27,888,1159,5113,0.0,882,210
61,2020-01-03 13:00:00,86.03,889,1157,5219,0.0,1016,206
62,2020-01-03 14:00:00,81.88,889,1158,5775,0.0,1136,215
63,2020-01-03 15:00:00,73.89,892,1160,7376,0.0,1120,222
64,2020-01-03 16:00:00,74.22,940,1158,7687,0.0,1134,222
65,2020-01-03 17:00:00,73.85,939,1160,7819,0.0,1095,223
66,2020-01-03 18:00:00,74.94,942,1160,7594,1.0,1102,223
67,2020-01-03 19:00:00,76.28,935,1157,7286,1.0,1043,219
68,2020-01-03 20:00:00,75.81,891,1155,7227,1.0,937,224
69,2020-01-03 21:00:00,75.51,888,1154,7267,1.0,771,207
70,2020-01-03 22:00:00,77.64,888,1157,7217,1.0,582,218
71,2020-01-03 23:00:00,78.65,888,1158,7285,1.0,338,214
72,2020-01-04 00:00:00,75.52,886,1158,8003,0.0,319,223
73,2020-01-04 01:00:00,72.84,886,1159,8606,0.0,332,226
74,2020-01-04 02:00:00,70.02,887,1160,9243,0.0,376,226
75,2020-01-04 03:00:00,69.42,886,1159,9197,0.0,442,218
76,2020-01-04 04:00:00,70.65,883,1159,8834,0.0,480,220
77,2020-01-04 05:00:00,71.77,880,1161,8432,0.0,561,220
78,2020-01-04 06:00:00,73.96,887,1159,7840,0.0,677,219
79,2020-01-04 07:00:00,78.12,890,1161,6790,0.0,854,217
80,2020-01-04 08:00:00,79.1,887,1159,6281,0.0,1033,209
81,2020-01-04 09:00:00,74.34,819,1159,5996,0.0,1563,212
82,2020-01-04 10:00:00,76.51,819,1160,5050,0.0,1988,211
83,2020-01-04 11:00:00,74.28,819,1158,4930,0.0,2430,213
84,2020-01-04 12:00:00,71.47,822,1155,5267,0.0,2602,210
85,2020-01-04 13:00:00,70.8,823,1151,5463,0.0,2604,213
86,2020-01-04 14:00:00,69.04,827,1152,5938,0.0,2596,215
87,2020-01-04 15:00:00,69.62,897,1154,6594,0.0,2553,222
88,2020-01-04 16:00:00,67.73,894,1157,7006,0.0,2636,226
89,2020-01-04 17:00:00,58.1,689,1161,7863,0.0,2527,223
90,2020-01-04 18:00:00,58.93,708,1162,8314,2.0,2127,221
91,2020-01-04 19:00:00,60.34,679,1159,7605,2.0,2040,221
92,2020-01-04 20:00:00,61.27,674,1157,7709,2.0,1719,222
93,2020-01-04 21:00:00,63.55,695,1158,7103,2.0,1835,221
94,2020-01-04 22:00:00,64.77,703,1155,6697,2.0,1993,224
95,2020-01-04 23:00:00,68.19,797,1156,7137,2.0,1658,220
96,2020-01-05 00:00:00,71.63,896,1159,7726,1.0,1233,218
97,2020-01-05 01:00:00,69.3,899,1162,8705,0.0,1005,224
98,2020-01-05 02:00:00,67.75,900,1162,9143,0.0,1035,227
99,2020-01-05 03:00:00,68.09,901,1161,9137,0.0,974,227
100,2020-01-05 04:00:00,69.81,900,1159,8883,0.0,793,226
101,2020-01-05 05:00:00,72.9,900,1160,8260,0.0,636,221
102,2020-01-05 06:00:00,75.82,900,1161,7813,0.0,548,227
103,2020-01-05 07:00:00,77.37,902,1162,7428,0.0,544,219
104,2020-01-05 08:00:00,80.19,902,1163,6812,0.0,564,212
105,2020-01-05 09:00:00,86.4,899,1162,5865,0.0,513,209
106,2020-01-05 10:00:00,88.85,900,1162,5734,0.0,315,204
107,2020-01-05 11:00:00,90.52,899,1162,5632,0.0,221,204
108,2020-01-05 12:00:00,90.94,900,1163,5697,0.0,151,207
109,2020-01-05 13:00:00,89.62,900,1165,5837,0.0,130,202
110,2020-01-05 14:00:00,88.12,898,1163,6045,0.0,116,203
111,2020-01-05 15:00:00,85.47,902,1165,6390,0.0,159,204
112,2020-01-05 16:00:00,83.48,947,1164,6937,0.0,231,207
113,2020-01-05 17:00:00,80.41,947,1165,7377,0.0,266,204
114,2020-01-05 18:00:00,78.27,946,1164,7788,1.0,255,205
115,2020-01-05 19:00:00,75.23,898,1164,7931,1.0,282,201
116,2020-01-05 20:00:00,76.66,896,1165,7173,1.0,715,208
117,2020-01-05 21:00:00,75.13,898,1163,6941,1.0,1138,206
118,2020-01-05 22:00:00,73.45,898,1159,6548,0.0,1721,205
119,2020-01-05 23:00:00,69.33,897,1155,6535,1.0,2472,205
120,2020-01-06 00:00:00,69.06,898,1156,6549,1.0,2551,208
121,2020-01-06 01:00:00,66.88,898,1159,6932,0.0,2643,203
122,2020-01-06 02:00:00,65.27,902,1159,7588,0.0,2538,204
123,2020-01-06 03:00:00,65.58,902,1162,7748,0.0,2366,206
124,2020-01-06 04:00:00,66.84,902,1161,7724,0.0,2116,207
125,2020-01-06 05:00:00,69.87,900,1162,7133,0.0,1938,207
126,2020-01-06 06:00:00,71.93,903,1161,6809,0.0,1811,205
127,2020-01-06 07:00:00,75.74,900,1162,6124,0.0,1746,210
128,2020-01-06 08:00:00,78.74,901,1161,5756,0.0,1628,213
129,2020-01-06 09:00:00,81.91,903,1162,5686,0.0,1308,218
130,2020-01-06 10:00:00,83.5,900,1162,5698,0.0,1018,211
131,2020-01-06 11:00:00,84.82,899,1162,5788,0.0,820,216
132,2020-01-06 12:00:00,85.16,898,1160,5665,0.0,885,217
133,2020-01-06 13:00:00,83.14,898,1161,5700,0.0,1077,214
134,2020-01-06 14:00:00,77.99,904,1160,6418,0.0,1269,218
135,2020-01-06 15:00:00,74.74,1002,1160,7680,0.0,1460,223
136,2020-01-06 16:00:00,71.4,1006,1158,8040,0.0,1835,222
137,2020-01-06 17:00:00,72.32,1004,1154,7725,0.0,1879,221
138,2020-01-06 18:00:00,72.59,1004,1154,7740,0.0,1895,229
139,2020-01-06 19:00:00,72.79,1005,1151,7504,0.0,2043,228
140,2020-01-06 20:00:00,73.0,1004,1150,7343,0.0,2143,230
141,2020-01-06 21:00:00,73.31,1002,1148,7173,0.0,2187,228
142,2020-01-06 22:00:00,73.39,1003,1147,6962,0.0,2398,233
143,2020-01-06 23:00:00,72.32,1001,1147,6942,0.0,2431,216
144,2020-01-07 00:00:00,72.48,1003,1146,7212,0.0,2365,232
145,2020-01-07 01:00:00,69.21,1002,1146,7966,0.0,2368,225
146,2020-01-07 02:00:00,66.45,1001,1145,8773,0.0,2400,227
147,2020-01-07 03:00:00,65.81,1001,1145,9099,0.0,2238,221
