UTC time,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_other_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,10603.78115,592.17725,1114.42299,212.12428,48.41418,1612.40308
2021-07-01 01:00:00,11075.33009,584.47759,1115.19486,211.66829,39.01436,1567.29198
2021-07-01 02:00:00,11347.73328,578.19883,1121.07493,210.24976,26.80238,1525.68894
2021-07-01 03:00:00,11502.08827,581.3494,1123.29229,209.03032,17.90859,1450.90284
2021-07-01 04:00:00,11308.30215,578.848,1125.49295,209.32812,11.18185,1358.12183
2021-07-01 05:00:00,10766.39686,583.69337,1124.89934,209.095,2.77178,1280.42853
2021-07-01 06:00:00,10029.13263,601.87505,1123.14983,209.82327,0,1207.69626
2021-07-01 07:00:00,9272.63525,613.62271,1125.75185,211.32296,4.34046,1144.88115
2021-07-01 08:00:00,8428.48464,623.72184,1127.98115,213.32963,4.88865,1096.99515
2021-07-01 09:00:00,7627.72906,624.96851,1127.30142,212.79209,0,1032.83139
2021-07-01 10:00:00,7272.17876,622.91894,1122.06513,212.30463,0,1020.55637
2021-07-01 11:00:00,7268.54475,619.46365,1120.05872,211.39125,0,1007.68375
2021-07-01 12:00:00,7899.73158,614.56181,1123.65485,211.48447,0,974.0463
2021-07-01 13:00:00,8438.33478,601.34529,1123.27765,211.92441,12.92217,941.10971
2021-07-01 14:00:00,8748.78168,595.59749,1124.97685,211.94605,26.979,906.10507
2021-07-01 15:00:00,9270.84982,590.49828,1125.79022,211.89299,41.3907,838.5991
2021-07-01 16:00:00,9636.4918,584.42823,1124.55191,211.39004,57.70425,785.46849
2021-07-01 17:00:00,9868.64922,591.87276,1121.154,210.06812,71.92475,750.46609
2021-07-01 18:00:00,10249.37274,573.9924,1122.28638,209.58701,86.86311,717.13668
2021-07-01 19:00:00,10214.64408,575.03405,1121.61156,212.30109,93.52254,691.01616
2021-07-01 20:00:00,10179.18583,584.27224,1117.46913,211.21192,97.64154,664.48169
2021-07-01 21:00:00,10346.34786,575.67424,1113.8151,211.36394,90.38313,668.96531
2021-07-01 22:00:00,10672.56137,585.23238,1110.03978,209.75375,81.79834,663.69254
2021-07-01 23:00:00,11035.1109,583.31172,1113.20514,210.19863,68.72716,666.33669
2021-07-02 00:00:00,10741.48046,555.94275,1110.92625,208.56615,52.62791,1191.10274
2021-07-02 01:00:00,11284.22765,548.70942,1111.70083,208.2408,43.0583,1157.81385
2021-07-02 02:00:00,11657.39545,543.01367,1117.58082,206.9308,30.52554,1126.01829
2021-07-02 03:00:00,11879.31733,546.1445,1119.80017,205.80905,21.23995,1069.80449
2021-07-02 04:00:00,11719.76816,543.84513,1122.00716,206.10772,13.77491,998.24962
2021-07-02 05:00:00,11153.24748,548.93032,1121.4225,205.89571,4.31152,940.42166
2021-07-02 06:00:00,10391.10939,566.65345,1119.67839,206.60987,0,889.61056
2021-07-02 07:00:00,9611.09433,578.3481,1122.27629,208.06427,4.7966,847.50785
2021-07-02 08:00:00,8736.06434,587.90374,1124.50701,209.93525,4.95852,817.32429
2021-07-02 09:00:00,7922.02031,589.29262,1123.83922,209.43038,0,774.86869
2021-07-02 10:00:00,7583.68217,587.23139,1118.6143,208.91195,0,777.38857
2021-07-02 11:00:00,7666.73526,583.97313,1116.61697,208.12324,0,778.52311
2021-07-02 12:00:00,8390.35953,579.05166,1120.22234,208.13393,0,763.31117
2021-07-02 13:00:00,8999.54167,567.17221,1119.85488,208.56116,13.66733,752.4561
2021-07-02 14:00:00,9374.06832,562.29006,1121.5528,208.57077,28.65024,737.35524
2021-07-02 15:00:00,9864.39261,557.80194,1122.36276,208.50077,44.04441,692.89163
2021-07-02 16:00:00,10189.4712,552.03921,1121.12871,207.99383,61.35103,661.89616
2021-07-02 17:00:00,10341.13773,559.17219,1117.74501,206.71162,76.47851,640.75715
2021-07-02 18:00:00,10609.33946,542.42606,1118.87604,206.32954,92.42243,620.53887
2021-07-02 19:00:00,10477.84299,543.87485,1118.19845,208.95077,99.59224,605.84711
2021-07-02 20:00:00,10344.53916,553.1164,1114.06881,207.97984,103.95897,592.10459
2021-07-02 21:00:00,10436.25299,545.19018,1110.42593,208.07301,96.1965,603.74457
2021-07-02 22:00:00,10767.30386,554.66295,1106.66212,206.63736,87.1859,606.80134
2021-07-02 23:00:00,11165.98475,553.42579,1109.8282,207.14089,73.51732,612.10153
2021-07-03 00:00:00,10935.05063,526.04452,1108.17042,205.59708,56.84081,1052.63966
