,UTC time,actual_carbon_intensity_lifecycle,forecasted_carbon_intensity_lifecycle
0,2021-07-01 00:00:00,455.53,453.58
1,2021-07-01 01:00:00,473.07,459.13
2,2021-07-01 02:00:00,490.69,461.11
3,2021-07-01 03:00:00,485.21,462.35
4,2021-07-01 04:00:00,471.23,454.19
5,2021-07-01 05:00:00,459.91,450.72
6,2021-07-01 06:00:00,441.5,443.99
7,2021-07-01 07:00:00,429.83,438.05
8,2021-07-01 08:00:00,428.66,439.31
9,2021-07-01 09:00:00,430.47,440.41
10,2021-07-01 10:00:00,435.66,451.23
11,2021-07-01 11:00:00,443.0,456.37
12,2021-07-01 12:00:00,456.68,471.26
13,2021-07-01 13:00:00,455.6,472.12
14,2021-07-01 14:00:00,447.35,471.34
15,2021-07-01 15:00:00,444.18,462.37
16,2021-07-01 16:00:00,448.37,461.37
17,2021-07-01 17:00:00,454.04,459.37
18,2021-07-01 18:00:00,457.67,461.85
19,2021-07-01 19:00:00,463.27,459.09
20,2021-07-01 20:00:00,464.83,463.01
21,2021-07-01 21:00:00,460.68,460.68
22,2021-07-01 22:00:00,457.68,458.49
23,2021-07-01 23:00:00,456.91,455.32
24,2021-07-02 00:00:00,450.05,464.59
25,2021-07-02 01:00:00,449.3,472.44
26,2021-07-02 02:00:00,465.59,474.23
27,2021-07-02 03:00:00,467.96,469.06
28,2021-07-02 04:00:00,463.48,463.36
29,2021-07-02 05:00:00,457.69,456.24
30,2021-07-02 06:00:00,442.3,447.33
31,2021-07-02 07:00:00,440.45,438.69
32,2021-07-02 08:00:00,444.64,431.6
33,2021-07-02 09:00:00,443.97,428.09
34,2021-07-02 10:00:00,444.35,428.23
35,2021-07-02 11:00:00,449.04,432.16
36,2021-07-02 12:00:00,455.36,438.71
37,2021-07-02 13:00:00,457.55,444.96
38,2021-07-02 14:00:00,451.17,449.7
39,2021-07-02 15:00:00,455.22,450.81
40,2021-07-02 16:00:00,462.7,451.92
41,2021-07-02 17:00:00,467.53,453.17
42,2021-07-02 18:00:00,468.13,454.24
43,2021-07-02 19:00:00,458.91,456.39
44,2021-07-02 20:00:00,455.01,457.53
45,2021-07-02 21:00:00,449.59,457.18
46,2021-07-02 22:00:00,450.61,457.57
47,2021-07-02 23:00:00,448.64,459.33
48,2021-07-03 00:00:00,452.88,466.41
49,2021-07-03 01:00:00,466.82,473.6
50,2021-07-03 02:00:00,469.92,474.87
51,2021-07-03 03:00:00,466.24,469.18
52,2021-07-03 04:00:00,464.11,462.93
53,2021-07-03 05:00:00,463.86,455.24
54,2021-07-03 06:00:00,463.5,445.8
55,2021-07-03 07:00:00,467.64,436.85
56,2021-07-03 08:00:00,472.66,429.11
57,2021-07-03 09:00:00,474.4,425.68
58,2021-07-03 10:00:00,482.6,426.24
59,2021-07-03 11:00:00,489.77,430.43
60,2021-07-03 12:00:00,493.63,436.67
61,2021-07-03 13:00:00,500.13,443.01
62,2021-07-03 14:00:00,496.37,448.48
63,2021-07-03 15:00:00,487.83,450.58
64,2021-07-03 16:00:00,482.78,452.55
65,2021-07-03 17:00:00,474.41,454.53
66,2021-07-03 18:00:00,470.37,456.17
67,2021-07-03 19:00:00,467.47,458.45
68,2021-07-03 20:00:00,463.47,459.64
69,2021-07-03 21:00:00,461.68,459.43
70,2021-07-03 22:00:00,462.18,459.91
71,2021-07-03 23:00:00,463.87,461.54
72,2021-07-04 00:00:00,454.66,465.63
73,2021-07-04 01:00:00,465.54,471.54
74,2021-07-04 02:00:00,471.61,471.78
75,2021-07-04 03:00:00,468.5,465.41
76,2021-07-04 04:00:00,465.84,458.22
77,2021-07-04 05:00:00,465.53,449.65
78,2021-07-04 06:00:00,460.57,439.64
79,2021-07-04 07:00:00,463.69,430.57
80,2021-07-04 08:00:00,473.39,422.94
81,2021-07-04 09:00:00,476.27,420.11
82,2021-07-04 10:00:00,481.15,421.54
83,2021-07-04 11:00:00,482.57,426.94
84,2021-07-04 12:00:00,486.93,434.52
85,2021-07-04 13:00:00,480.4,442.33
86,2021-07-04 14:00:00,465.03,449.31
87,2021-07-04 15:00:00,451.48,452.73
88,2021-07-04 16:00:00,449.05,455.49
89,2021-07-04 17:00:00,456.39,457.98
90,2021-07-04 18:00:00,460.43,459.83
91,2021-07-04 19:00:00,460.76,462.11
92,2021-07-04 20:00:00,455.94,463.2
93,2021-07-04 21:00:00,447.13,462.7
94,2021-07-04 22:00:00,437.51,462.67
95,2021-07-04 23:00:00,429.67,463.52
96,2021-07-02 00:00:00,450.05,454.45
97,2021-07-02 01:00:00,449.3,462.1
98,2021-07-02 02:00:00,465.59,463.59
99,2021-07-02 03:00:00,467.96,463.08
100,2021-07-02 04:00:00,463.48,453.66
101,2021-07-02 05:00:00,457.69,448.71
102,2021-07-02 06:00:00,442.3,440.45
103,2021-07-02 07:00:00,440.45,433.87
104,2021-07-02 08:00:00,444.64,434.38
105,2021-07-02 09:00:00,443.97,435.59
106,2021-07-02 10:00:00,444.35,443.77
107,2021-07-02 11:00:00,449.04,447.63
108,2021-07-02 12:00:00,455.36,459.93
109,2021-07-02 13:00:00,457.55,459.7
110,2021-07-02 14:00:00,451.17,456.33
111,2021-07-02 15:00:00,455.22,447.64
112,2021-07-02 16:00:00,462.7,449.73
113,2021-07-02 17:00:00,467.53,450.29
114,2021-07-02 18:00:00,468.13,454.03
115,2021-07-02 19:00:00,458.91,453.54
116,2021-07-02 20:00:00,455.01,456.28
117,2021-07-02 21:00:00,449.59,454.42
