UTC time,creation_time (UTC),version,coal,nat_gas,hydro,solar,wind,other
2023-08-30 00:00:00,2023-09-02 22:35:24,3.0,702.0,2284.0,397.0,844.0,202.0,227.0
2023-08-30 01:00:00,2023-09-02 22:35:24,3.0,891.0,2401.0,397.0,598.0,200.0,233.0
2023-08-30 02:00:00,2023-09-02 22:35:24,3.0,891.0,2613.0,449.0,172.0,172.0,252.0
2023-08-30 03:00:00,2023-09-02 22:35:24,3.0,755.0,2667.0,473.0,1.0,117.0,271.0
2023-08-30 04:00:00,2023-09-02 22:35:24,3.0,561.0,2539.0,393.0,0.0,91.0,264.0
2023-08-30 05:00:00,2023-09-02 22:35:24,3.0,443.0,2455.0,394.0,0.0,85.0,235.0
2023-08-30 06:00:00,2023-09-02 22:35:24,3.0,432.0,2373.0,31.0,0.0,86.0,239.0
2023-08-30 07:00:00,2023-09-02 22:35:24,3.0,431.0,1870.0,26.0,0.0,78.0,228.0
2023-08-30 08:00:00,2023-09-02 22:35:24,3.0,424.0,1535.0,27.0,0.0,81.0,171.0
2023-08-30 09:00:00,2023-09-02 22:35:24,3.0,418.0,1476.0,27.0,0.0,64.0,143.0
2023-08-30 10:00:00,2023-09-02 22:35:24,3.0,406.0,1327.0,27.0,0.0,57.0,131.0
2023-08-30 11:00:00,2023-09-02 22:35:24,3.0,401.0,1297.0,27.0,0.0,57.0,130.0
2023-08-30 12:00:00,2023-09-02 22:35:24,3.0,400.0,1230.0,27.0,0.0,73.0,127.0
2023-08-30 13:00:00,2023-09-02 22:35:24,3.0,397.0,1250.0,27.0,0.0,29.0,173.0
2023-08-30 14:00:00,2023-09-02 22:35:24,3.0,408.0,1328.0,27.0,23.0,18.0,197.0
2023-08-30 15:00:00,2023-09-02 22:35:24,3.0,517.0,1070.0,0.0,362.0,1.0,147.0
2023-08-30 16:00:00,2023-09-02 22:35:24,3.0,425.0,806.0,0.0,789.0,0.0,133.0
2023-08-30 17:00:00,2023-09-02 22:35:24,3.0,407.0,777.0,0.0,962.0,0.0,136.0
2023-08-30 18:00:00,2023-09-02 22:35:24,3.0,406.0,948.0,0.0,1027.0,0.0,148.0
2023-08-30 19:00:00,2023-09-02 22:35:24,3.0,413.0,1149.0,12.0,1040.0,19.0,172.0
2023-08-30 20:00:00,2023-09-02 22:35:24,3.0,508.0,1344.0,24.0,1036.0,30.0,191.0
2023-08-30 21:00:00,2023-09-02 22:35:24,3.0,415.0,1604.0,204.0,1038.0,48.0,227.0
2023-08-30 22:00:00,2023-09-02 22:35:24,3.0,410.0,1726.0,219.0,1008.0,59.0,241.0
2023-08-30 23:00:00,2023-09-02 22:35:24,3.0,453.0,1701.0,237.0,950.0,89.0,249.0
