,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-08-04 00:00:00,394.02,412.0,1221.0,51.0,900.0,37.0,178.0
1,2023-08-04 01:00:00,367.62,408.0,1299.0,407.0,731.0,72.0,174.0
2,2023-08-04 02:00:00,430.94,466.0,1515.0,424.0,355.0,23.0,180.0
3,2023-08-04 03:00:00,488.11,538.0,1692.0,423.0,33.0,45.0,239.0
4,2023-08-04 04:00:00,481.18,451.0,1697.0,423.0,0.0,40.0,203.0
5,2023-08-04 05:00:00,475.2,421.0,1702.0,425.0,0.0,42.0,182.0
6,2023-08-04 06:00:00,553.95,515.0,1575.0,63.0,0.0,50.0,166.0
7,2023-08-04 07:00:00,555.87,425.0,1352.0,51.0,0.0,33.0,152.0
8,2023-08-04 08:00:00,552.96,412.0,1163.0,47.0,0.0,60.0,140.0
9,2023-08-04 09:00:00,563.94,406.0,1184.0,0.0,1.0,60.0,127.0
10,2023-08-04 10:00:00,577.51,398.0,973.0,0.0,0.0,46.0,120.0
11,2023-08-04 11:00:00,578.34,394.0,1067.0,0.0,0.0,27.0,118.0
12,2023-08-04 12:00:00,577.07,392.0,1134.0,0.0,0.0,19.0,116.0
13,2023-08-04 13:00:00,570.06,393.0,1310.0,0.0,0.0,16.0,120.0
14,2023-08-04 14:00:00,552.28,401.0,1311.0,0.0,70.0,13.0,114.0
15,2023-08-04 15:00:00,459.75,387.0,1102.0,0.0,466.0,11.0,106.0
16,2023-08-04 16:00:00,391.13,368.0,1006.0,0.0,832.0,7.0,108.0
17,2023-08-04 17:00:00,372.84,365.0,1006.0,0.0,977.0,1.0,121.0
18,2023-08-04 18:00:00,364.47,367.0,1001.0,0.0,1050.0,0.0,127.0
19,2023-08-04 19:00:00,366.93,372.0,1035.0,0.0,1064.0,1.0,141.0
20,2023-08-04 20:00:00,361.98,374.0,1055.0,30.0,1056.0,28.0,143.0
21,2023-08-04 21:00:00,367.27,386.0,1173.0,45.0,1059.0,25.0,141.0
22,2023-08-04 22:00:00,381.24,399.0,1389.0,45.0,1045.0,15.0,147.0
23,2023-08-04 23:00:00,370.66,400.0,1456.0,228.0,982.0,25.0,165.0
