datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-06-27 00:00:00,3.983971243590276,291.97321745989973,276.9209746634946,257.8601969490302,0.0319059416741615,160.55957,704.38945,69.04917,11036.26009,4055.49991,2427.06072
2023-06-27 01:00:00,3.983971243590276,291.97321745989973,276.9209746634946,257.8601969490302,0.0319059416741615,138.9259,862.33575,92.09196,6677.43993,4104.37005,2456.30761
2023-06-27 02:00:00,3.983971243590276,291.97321745989973,276.9209746634946,257.8601969490302,0.0319059416741615,129.75242,992.47149,163.37518,1746.83,4250.0999,2543.52132
2023-06-27 03:00:00,3.983971243590276,291.97321745989973,276.9209746634946,257.8601969490302,0.0319059416741615,136.31482,1078.52808,211.76104,6.09,4194.19,2510.0614
2023-06-27 04:00:00,3.203561224905423,289.27356012807263,277.68094166942,257.8601969490302,0.0319059416741615,172.04473,1148.30534,225.65528,0.0,4226.60985,2529.46343
2023-06-27 05:00:00,3.203561224905423,289.27356012807263,277.68094166942,257.8601969490302,0.0319059416741615,204.21293,1182.36875,205.88154,0.0,4272.14994,2556.71743
2023-06-27 06:00:00,3.203561224905423,289.27356012807263,277.68094166942,257.8601969490302,0.0319059416741615,226.85115,1188.70468,193.11403,0.0,4312.39991,2580.80549
2023-06-27 07:00:00,2.602850969132472,288.0199424831489,277.3741287908989,129.02991036661385,0.0460800894021622,235.85919,1115.62369,158.24925,0.0,4406.75993,2637.27633
2023-06-27 08:00:00,2.602850969132472,288.0199424831489,277.3741287908989,129.02991036661385,0.0460800894021622,246.87906,1063.11961,95.62188,0.0,4367.38989,2613.71487
2023-06-27 09:00:00,2.602850969132472,288.0199424831489,277.3741287908989,129.02991036661385,0.0460800894021622,244.69996,1005.00225,37.52011,0.0,4311.55005,2580.29687
2023-06-27 10:00:00,2.0651768526407297,286.93953342409395,276.7789808821374,0.0,0.0464178728516872,224.20305,915.9869,2.60054,0.0,4189.36014,2507.17092
2023-06-27 11:00:00,2.0651768526407297,286.93953342409395,276.7789808821374,0.0,0.0464178728516872,194.80455,819.67759,0.0,0.0,3994.89002,2390.78803
