,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-09-03 00:00:00,2023-09-06 01:46:43,3.0,413.81,374.0,1061.0,34.0,678.0,84.0,225.0
1,2023-09-03 01:00:00,2023-09-06 01:46:43,3.0,411.23,374.0,1070.0,212.0,410.0,184.0,238.0
2,2023-09-03 02:00:00,2023-09-06 01:46:43,3.0,480.76,375.0,1249.0,218.0,91.0,111.0,240.0
3,2023-09-03 03:00:00,2023-09-06 01:46:43,3.0,507.88,374.0,1326.0,218.0,1.0,66.0,238.0
4,2023-09-03 04:00:00,2023-09-06 01:46:43,3.0,485.6,375.0,1160.0,302.0,0.0,82.0,223.0
5,2023-09-03 05:00:00,2023-09-06 01:46:43,3.0,511.36,379.0,935.0,232.0,0.0,55.0,231.0
6,2023-09-03 06:00:00,2023-09-06 01:46:43,3.0,507.74,365.0,936.0,218.0,0.0,77.0,241.0
7,2023-09-03 07:00:00,2023-09-06 01:46:43,3.0,514.08,371.0,934.0,219.0,0.0,57.0,242.0
8,2023-09-03 08:00:00,2023-09-06 01:46:43,3.0,504.62,366.0,937.0,216.0,0.0,90.0,238.0
9,2023-09-03 09:00:00,2023-09-06 01:46:43,3.0,563.05,371.0,930.0,35.0,0.0,74.0,236.0
10,2023-09-03 10:00:00,2023-09-06 01:46:43,3.0,576.56,370.0,928.0,30.0,0.0,39.0,234.0
11,2023-09-03 11:00:00,2023-09-06 01:46:43,3.0,574.37,371.0,927.0,30.0,0.0,36.0,190.0
12,2023-09-03 12:00:00,2023-09-06 01:46:43,3.0,571.52,370.0,927.0,30.0,0.0,40.0,175.0
13,2023-09-03 13:00:00,2023-09-06 01:46:43,3.0,574.61,369.0,927.0,30.0,0.0,32.0,179.0
14,2023-09-03 14:00:00,2023-09-06 01:46:43,3.0,573.54,368.0,881.0,30.0,17.0,33.0,213.0
15,2023-09-03 15:00:00,2023-09-06 01:46:43,3.0,474.45,367.0,513.0,33.0,324.0,33.0,153.0
16,2023-09-03 16:00:00,2023-09-06 01:46:43,3.0,355.76,366.0,306.0,0.0,783.0,34.0,128.0
17,2023-09-03 17:00:00,2023-09-06 01:46:43,3.0,318.2,363.0,369.0,0.0,979.0,89.0,129.0
18,2023-09-03 18:00:00,2023-09-06 01:46:43,3.0,313.13,363.0,376.0,0.0,975.0,129.0,129.0
19,2023-09-03 19:00:00,2023-09-06 01:46:43,3.0,316.55,365.0,376.0,0.0,930.0,164.0,140.0
20,2023-09-03 20:00:00,2023-09-06 01:46:43,3.0,322.36,365.0,376.0,0.0,908.0,171.0,160.0
21,2023-09-03 21:00:00,2023-09-06 01:46:43,3.0,320.52,366.0,375.0,0.0,918.0,186.0,169.0
22,2023-09-03 22:00:00,2023-09-06 01:46:43,3.0,312.25,367.0,412.0,0.0,979.0,221.0,177.0
23,2023-09-03 23:00:00,2023-09-06 01:46:43,3.0,336.32,368.0,567.0,0.0,882.0,232.0,185.0
