UTC time,coal,nat_gas,hydro,solar,wind,other
2023-10-03 00:00:00,423.0,321.0,141.0,584.0,15.0,139.0
2023-10-03 01:00:00,424.0,423.0,141.0,236.0,27.0,213.0
2023-10-03 02:00:00,424.0,774.0,367.0,7.0,47.0,211.0
2023-10-03 03:00:00,425.0,977.0,373.0,0.0,24.0,198.0
2023-10-03 04:00:00,444.0,979.0,272.0,0.0,26.0,196.0
2023-10-03 05:00:00,487.0,978.0,271.0,0.0,10.0,210.0
2023-10-03 06:00:00,415.0,845.0,271.0,0.0,7.0,221.0
2023-10-03 07:00:00,406.0,738.0,268.0,0.0,4.0,218.0
2023-10-03 08:00:00,405.0,737.0,25.0,0.0,1.0,211.0
2023-10-03 09:00:00,403.0,737.0,22.0,0.0,3.0,154.0
2023-10-03 10:00:00,403.0,737.0,22.0,0.0,9.0,143.0
2023-10-03 11:00:00,401.0,738.0,22.0,0.0,2.0,139.0
2023-10-03 12:00:00,400.0,739.0,22.0,0.0,1.0,151.0
2023-10-03 13:00:00,402.0,739.0,187.0,0.0,11.0,213.0
2023-10-03 14:00:00,446.0,739.0,262.0,3.0,9.0,225.0
2023-10-03 15:00:00,427.0,644.0,274.0,196.0,8.0,183.0
2023-10-03 16:00:00,402.0,312.0,129.0,647.0,11.0,119.0
2023-10-03 17:00:00,399.0,306.0,0.0,906.0,0.0,108.0
2023-10-03 18:00:00,398.0,305.0,0.0,989.0,0.0,106.0
2023-10-03 19:00:00,397.0,310.0,0.0,1006.0,0.0,107.0
2023-10-03 20:00:00,397.0,331.0,134.0,999.0,0.0,106.0
2023-10-03 21:00:00,397.0,404.0,134.0,998.0,0.0,105.0
2023-10-03 22:00:00,397.0,457.0,134.0,964.0,0.0,104.0
2023-10-03 23:00:00,398.0,530.0,134.0,880.0,0.0,110.0
