,Solar,Wind Onshore
2019-01-01 02:00:00+02:00,0.0,374.0
2019-01-01 03:00:00+02:00,0.0,396.0
2019-01-01 04:00:00+02:00,0.0,418.0
2019-01-01 05:00:00+02:00,0.0,411.0
2019-01-01 06:00:00+02:00,0.0,395.0
2019-01-01 07:00:00+02:00,0.0,381.0
2019-01-01 08:00:00+02:00,22.0,336.0
2019-01-01 09:00:00+02:00,84.0,284.0
2019-01-01 10:00:00+02:00,152.0,279.0
2019-01-01 11:00:00+02:00,195.0,234.0
2019-01-01 12:00:00+02:00,186.0,111.0
2019-01-01 13:00:00+02:00,174.0,103.0
2019-01-01 14:00:00+02:00,137.0,134.0
2019-01-01 15:00:00+02:00,70.0,82.0
2019-01-01 16:00:00+02:00,9.0,47.0
2019-01-01 17:00:00+02:00,0.0,41.0
2019-01-01 18:00:00+02:00,0.0,36.0
2019-01-01 19:00:00+02:00,0.0,14.0
2019-01-01 20:00:00+02:00,0.0,12.0
2019-01-01 21:00:00+02:00,0.0,14.0
2019-01-01 22:00:00+02:00,0.0,17.0
2019-01-01 23:00:00+02:00,0.0,12.0
2019-01-02 00:00:00+02:00,0.0,2.0
2019-01-02 01:00:00+02:00,0.0,4.0
2019-01-02 02:00:00+02:00,0.0,4.0
2019-01-02 03:00:00+02:00,0.0,3.0
2019-01-02 04:00:00+02:00,0.0,10.0
2019-01-02 05:00:00+02:00,0.0,24.0
2019-01-02 06:00:00+02:00,0.0,61.0
2019-01-02 07:00:00+02:00,0.0,73.0
2019-01-02 08:00:00+02:00,43.0,69.0
2019-01-02 09:00:00+02:00,164.0,78.0
2019-01-02 10:00:00+02:00,268.0,66.0
2019-01-02 11:00:00+02:00,319.0,71.0
2019-01-02 12:00:00+02:00,318.0,80.0
2019-01-02 13:00:00+02:00,260.0,96.0
2019-01-02 14:00:00+02:00,160.0,130.0
2019-01-02 15:00:00+02:00,56.0,128.0
2019-01-02 16:00:00+02:00,5.0,108.0
2019-01-02 17:00:00+02:00,0.0,91.0
2019-01-02 18:00:00+02:00,0.0,74.0
2019-01-02 19:00:00+02:00,0.0,73.0
2019-01-02 20:00:00+02:00,0.0,74.0
2019-01-02 21:00:00+02:00,0.0,80.0
2019-01-02 22:00:00+02:00,0.0,92.0
2019-01-02 23:00:00+02:00,0.0,71.0
2019-01-03 00:00:00+02:00,0.0,84.0
2019-01-03 01:00:00+02:00,0.0,96.0
2019-01-03 02:00:00+02:00,0.0,186.0
2019-01-03 03:00:00+02:00,0.0,292.0
2019-01-03 04:00:00+02:00,0.0,325.0
2019-01-03 05:00:00+02:00,0.0,280.0
2019-01-03 06:00:00+02:00,0.0,260.0
2019-01-03 07:00:00+02:00,0.0,280.0
2019-01-04 00:00:00+02:00,0.0,627.0
2019-01-04 01:00:00+02:00,0.0,628.0
2019-01-04 02:00:00+02:00,0.0,627.0
2019-01-04 03:00:00+02:00,0.0,624.0
2019-01-04 04:00:00+02:00,0.0,619.0
2019-01-04 05:00:00+02:00,0.0,613.0
2019-01-04 06:00:00+02:00,0.0,606.0
2019-01-04 07:00:00+02:00,0.0,596.0
2019-01-04 08:00:00+02:00,10.0,570.0
2019-01-04 09:00:00+02:00,71.0,527.0
2019-01-04 10:00:00+02:00,163.0,499.0
2019-01-04 11:00:00+02:00,253.0,477.0
2019-01-04 12:00:00+02:00,287.0,460.0
2019-01-04 13:00:00+02:00,247.0,438.0
2019-01-04 14:00:00+02:00,178.0,418.0
2019-01-04 15:00:00+02:00,93.0,369.0
2019-01-04 16:00:00+02:00,14.0,125.0
2019-01-04 17:00:00+02:00,0.0,83.0
2019-01-04 18:00:00+02:00,0.0,122.0
2019-01-04 19:00:00+02:00,0.0,122.0
2019-01-04 20:00:00+02:00,0.0,140.0
2019-01-04 21:00:00+02:00,0.0,184.0
2019-01-04 22:00:00+02:00,0.0,202.0
2019-01-04 23:00:00+02:00,0.0,173.0
2019-01-05 00:00:00+02:00,0.0,103.0
2019-01-05 01:00:00+02:00,0.0,165.0
2019-01-05 02:00:00+02:00,0.0,202.0
2019-01-05 03:00:00+02:00,0.0,190.0
2019-01-05 04:00:00+02:00,0.0,168.0
2019-01-05 05:00:00+02:00,0.0,97.0
2019-01-05 06:00:00+02:00,0.0,60.0
2019-01-05 07:00:00+02:00,0.0,75.0
2019-01-05 08:00:00+02:00,40.0,105.0
2019-01-05 09:00:00+02:00,159.0,83.0
2019-01-05 10:00:00+02:00,267.0,46.0
2019-01-05 11:00:00+02:00,327.0,49.0
2019-01-05 12:00:00+02:00,337.0,55.0
2019-01-05 13:00:00+02:00,299.0,61.0
2019-01-05 14:00:00+02:00,221.0,32.0
2019-01-05 15:00:00+02:00,114.0,21.0
2019-01-05 16:00:00+02:00,18.0,12.0
2019-01-05 17:00:00+02:00,0.0,17.0
2019-01-05 18:00:00+02:00,0.0,14.0
2019-01-05 19:00:00+02:00,0.0,23.0
2019-01-05 20:00:00+02:00,0.0,27.0
2019-01-05 21:00:00+02:00,0.0,31.0
2019-01-05 22:00:00+02:00,0.0,33.0
2019-01-05 23:00:00+02:00,0.0,39.0
2019-01-06 00:00:00+02:00,0.0,120.0
2019-01-06 01:00:00+02:00,0.0,121.0
2019-01-06 02:00:00+02:00,0.0,106.0
2019-01-06 03:00:00+02:00,0.0,88.0
2019-01-06 04:00:00+02:00,0.0,56.0
2019-01-06 05:00:00+02:00,0.0,41.0
2019-01-06 06:00:00+02:00,0.0,41.0
2019-01-06 07:00:00+02:00,0.0,47.0
2019-01-06 08:00:00+02:00,10.0,63.0
2019-01-06 09:00:00+02:00,48.0,85.0
2019-01-06 10:00:00+02:00,96.0,127.0
2019-01-06 11:00:00+02:00,154.0,157.0
2019-01-06 12:00:00+02:00,179.0,216.0
2019-01-06 13:00:00+02:00,178.0,302.0
2019-01-06 14:00:00+02:00,150.0,327.0
2019-01-06 15:00:00+02:00,87.0,370.0
2019-01-06 16:00:00+02:00,16.0,452.0
2019-01-06 17:00:00+02:00,0.0,436.0
2019-01-06 18:00:00+02:00,0.0,432.0
2019-01-06 19:00:00+02:00,0.0,445.0
2019-01-06 20:00:00+02:00,0.0,406.0
2019-01-06 21:00:00+02:00,0.0,392.0
2019-01-06 22:00:00+02:00,0.0,391.0
2019-01-06 23:00:00+02:00,0.0,367.0
