,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,wind,biomass,solar
8760,01/01/2020 00:00:00,469.34,9504.67,664.55,0.45,30.67,45.6,40.58,5628.5
8761,01/01/2020 01:00:00,465.06,9893.17,403.3,0.45,71.84,12.02,38.75,6069
8762,01/01/2020 02:00:00,459.77,9889.67,379.31,0.45,71.81,13.33,43.45,6255.33
8763,01/01/2020 03:00:00,460.23,9955.67,385.78,0.45,51.22,72.76,40.73,6244.17
8764,01/01/2020 04:00:00,467.67,10078.5,403.5,0.45,31.67,106.61,35.15,6042.17
8765,01/01/2020 05:00:00,485.33,10470.83,502.88,0.45,72.7,93.43,37.37,5602.83
8766,01/01/2020 06:00:00,526.65,11150.5,739.66,0.45,73.17,46.18,38.22,4562.98
8767,01/01/2020 07:00:00,569.30,11673,1248.29,0.45,72.74,93.88,20.57,3285.88
8768,01/01/2020 08:00:00,629.96,12090.17,2000.68,0.45,167.06,95.1,7.85,1399.92
8769,01/01/2020 09:00:00,669.57,12348.33,2162.25,0.45,496.1,120.86,0,83.27
8770,01/01/2020 10:00:00,678.82,12211.67,2146.95,0.45,314,169.05,0,0.43
8771,01/01/2020 11:00:00,703.76,12178.83,1739.73,0.45,22.67,124.97,0,0.43
8772,01/01/2020 12:00:00,712.38,12005.17,1303.37,0.45,10.12,165.36,0,0.43
8773,01/01/2020 13:00:00,724.33,11648.17,771.6,0.45,10.12,185.46,0,0.36
8774,01/01/2020 14:00:00,734.75,11083.5,369.83,0.45,10.12,186.84,0,0.21
8775,01/01/2020 15:00:00,733.47,10606.17,371.2,0.45,10.18,189.04,0,0.21
8776,01/01/2020 16:00:00,735.05,10226.33,370.05,0.45,10.22,152.84,0,0.11
8777,01/01/2020 17:00:00,735.74,10162.5,370.67,0.45,10.18,140.28,0,0.11
8778,01/01/2020 18:00:00,739.50,10228.83,370.78,0.45,10.19,87.82,0,0.11
8779,01/01/2020 19:00:00,740.22,10499.5,370.07,0.45,10.21,84.73,0,0.37
8780,01/01/2020 20:00:00,721.35,10503.33,369.95,0.45,10.19,84.26,0,287.89
8781,01/01/2020 21:00:00,638.67,11009,370.38,0.45,10.18,46.25,0,1879.08
8782,01/01/2020 22:00:00,575.87,11187.83,369.57,0.45,10.12,57.58,0,3377.17
8783,01/01/2020 23:00:00,538.20,11186.83,371.2,0.45,10.2,75.79,0,4408.02
8784,01/02/2020 00:00:00,513.30,11175.5,370.13,0.45,18.66,49.98,0,5199.17
8785,01/02/2020 01:00:00,498.87,11261.67,371.22,0.45,65.86,36.19,0,5696.67
8786,01/02/2020 02:00:00,488.78,11194.83,373.07,0.45,71.79,38.6,0,6010.67
8787,01/02/2020 03:00:00,484.90,11153.33,411.57,0.45,51.23,40.01,0,6138.83
8788,01/02/2020 04:00:00,491.70,11247.67,511.61,0.45,30.43,70.55,0,5909.7
8789,01/02/2020 05:00:00,504.89,11696.5,1102.32,0.45,72.88,86.38,0,5456.1
8790,01/02/2020 06:00:00,522.79,11863,1583.47,0.45,73.12,117.68,0,4729
8791,01/02/2020 07:00:00,547.51,12204.17,2065.65,0.45,484.96,158.49,0,3423.12
8792,01/02/2020 08:00:00,614.29,12642.67,2181.68,0.45,567.2,158.97,0,1404.82
8793,01/02/2020 09:00:00,657.71,12831.17,2357.33,0.45,643.22,225.44,0,95.63
8794,01/02/2020 10:00:00,663.44,12566.33,2547,0.45,414.51,286.53,0,1.19
8795,01/02/2020 11:00:00,681.23,12138.67,2424.22,0.45,26.79,267.9,0,1.09
8796,01/02/2020 12:00:00,690.18,11772.33,1956.46,0.45,10.25,271.87,0,0.99
8797,01/02/2020 13:00:00,702.09,11676.33,1433.72,0.11,10.13,274.57,0,0.15
8798,01/02/2020 14:00:00,716.95,11524.67,953.27,0,10.14,220.62,0,0
8799,01/02/2020 15:00:00,727.59,10913.33,642.59,0,10.13,160.24,0,0
8800,01/02/2020 16:00:00,725.33,10517.33,647.71,0,10.1,175.34,0,0
8801,01/02/2020 17:00:00,723.52,10260.33,650.02,0,10.17,189.58,0,0
8802,01/02/2020 18:00:00,726.78,10298.83,652.06,0,10.22,140.44,0,0
8803,01/02/2020 19:00:00,727.81,10382.83,656.31,0,10.15,126.3,0,0.14
8804,01/02/2020 20:00:00,707.22,10621,673.89,0,10.17,144.63,0,316.54
8805,01/02/2020 21:00:00,626.07,10779.83,686.86,0,10.19,110.95,0,1903.95
8806,01/02/2020 22:00:00,568.82,10813.83,667.31,0,6.74,55.7,0,3338.78
8807,01/02/2020 23:00:00,532.54,10463.67,662.37,0,5.53,67.82,0,4193.7
8808,01/03/2020 00:00:00,494.20,10208,744.86,0,34.04,65.76,0,5203.3
8809,01/03/2020 01:00:00,484.46,10567.17,758.31,0,71.83,60.89,0,5698.35
8810,01/03/2020 02:00:00,476.25,10880.83,752.67,0,71.79,65.23,0,6177.88
8811,01/03/2020 03:00:00,476.34,11061,754.61,0,51.26,63.44,0,6303.83
8812,01/03/2020 04:00:00,491.92,11536.33,903.96,0,30.71,68.68,0,5963.63
8813,01/03/2020 05:00:00,502.99,11692,1497.54,0,65.64,79.15,0,5433.53
8814,01/03/2020 06:00:00,526.47,11857.67,2246.58,0,60.59,128.2,0,4403.17
8815,01/03/2020 07:00:00,558.38,12438.33,2752.47,0.15,456.66,165.57,0,2940.37
8816,01/03/2020 08:00:00,616.52,12745.33,2767.92,0.45,504.32,163.38,0,1191.6
8817,01/03/2020 09:00:00,655.82,12822,2782.17,0.45,511.8,207.22,0,105.13
8818,01/03/2020 10:00:00,661.09,12539.83,2816.93,0.45,370.33,263.43,0,1.99
8819,01/03/2020 11:00:00,682.60,12319.67,2361.65,0.45,26.11,287.33,0,1.82
8820,01/03/2020 12:00:00,688.77,11809.5,2108.04,0.45,9.4,234.32,0,1.82
8821,01/03/2020 13:00:00,700.56,11490.83,1467.19,0.45,9.42,271.25,0,1.82
8822,01/03/2020 14:00:00,714.60,11318.83,861.18,0.45,9.3,292.5,0,1.82
8823,01/03/2020 15:00:00,716.37,10611.17,772.03,0.45,9.41,261.57,0,1.82
8824,01/03/2020 16:00:00,722.23,10328.5,587.48,0.45,9.2,242.37,0,1.82
8825,01/03/2020 17:00:00,724.60,10068.17,590.68,0.45,9.46,191.39,0,1.82
