UTC time,avg_solar_production_forecast,avg_biomass_production_forecast,avg_wind_production_forecast,avg_hydro_production_forecast,avg_oil_production_forecast,avg_nat_gas_production_forecast,avg_coal_production_forecast
2021-07-01 00:00:00,3132.74388,64.29493,655.38336,178.90502,18.58349,783.58121,10468.1193
2021-07-01 01:00:00,3515.55958,63.78879,640.8195,188.26255,10.56375,549.05363,10213.06589
2021-07-01 02:00:00,3754.55356,60.95337,597.41755,189.77811,3.47207,507.8718,9955.77686
2021-07-01 03:00:00,3569.66046,58.65061,542.19274,209.95709,0.80426,688.58313,9750.9509
2021-07-01 04:00:00,3235.82693,58.10839,529.02434,169.99193,0.31603,987.97617,9798.3563
2021-07-01 05:00:00,2470.98629,57.54787,499.69952,194.4067,0.26579,1463.6811,10109.59162
2021-07-01 06:00:00,1575.49939,56.72297,485.84267,225.64751,5.5449,1920.71199,10725.45119
2021-07-01 07:00:00,714.32817,58.27869,487.18936,309.82436,11.13478,2325.88431,11229.57396
2021-07-01 08:00:00,60.28004,59.34172,503.03246,426.64855,14.38468,2636.0695,11849.26223
2021-07-01 09:00:00,0,59.40181,538.84404,501.46094,20.15839,2618.70572,12292.92891
2021-07-01 10:00:00,46.57899,59.53806,566.97309,487.4138,21.12665,2400.63902,12353.39996
2021-07-01 11:00:00,174.4769,59.07482,575.50817,392.92046,21.57266,2070.29831,11888.06688
2021-07-01 12:00:00,169.06623,58.59322,619.53289,255.82889,20.80698,1674.06658,11451.751
2021-07-01 13:00:00,114.74773,61.29493,654.50098,219.45422,9.70485,1385.73677,10927.37111
2021-07-01 14:00:00,372.41937,60.00957,657.82144,233.59565,7.33649,1209.54528,10517.40397
2021-07-01 15:00:00,497.84718,58.58696,691.24966,226.57174,6.23055,1012.65123,9970.16322
2021-07-01 16:00:00,346.10816,57.61117,692.12926,214.71112,4.75745,943.45764,9687.30316
2021-07-01 17:00:00,79.61857,56.02864,688.5433,204.8455,10.01279,988.4037,9633.14548
2021-07-01 18:00:00,0,57.79801,641.61936,172.71072,12.72298,1128.49575,9689.508
2021-07-01 19:00:00,0,59.02129,649.08838,178.12863,16.43853,1216.70449,10137.22828
2021-07-01 20:00:00,280.91945,60.87961,649.72223,213.53308,14.48664,1281.58955,10539.47016
2021-07-01 21:00:00,868.95165,60.58991,633.15161,241.75494,11.56352,1264.35467,10695.13685
2021-07-01 22:00:00,1746.8236,61.51379,586.74163,246.64387,3.4715,1083.16126,10771.28278
2021-07-01 23:00:00,2425.54939,61.19516,549.63466,209.25414,6.11993,850.34198,10585.87007
2021-07-02 00:00:00,3172.55033,66.10637,506.26184,201.16316,18.58349,678.15331,10442.78239
