,UTC time,actual_carbon_intensity_direct,forecasted_carbon_intensity_direct
0,2021-07-01 00:00:00,516.48,539.37
1,2021-07-01 01:00:00,504.7,524.95
2,2021-07-01 02:00:00,518.28,514.65
3,2021-07-01 03:00:00,544.77,517.23
4,2021-07-01 04:00:00,565.53,528.6
5,2021-07-01 05:00:00,588.73,555.88
6,2021-07-01 06:00:00,609.57,591.13
7,2021-07-01 07:00:00,626.92,621.0
8,2021-07-01 08:00:00,618.33,642.27
9,2021-07-01 09:00:00,612.61,643.72
10,2021-07-01 10:00:00,623.83,645.43
11,2021-07-01 11:00:00,643.74,646.14
12,2021-07-01 12:00:00,673.2,654.84
13,2021-07-01 13:00:00,687.93,659.66
14,2021-07-01 14:00:00,689.58,646.63
15,2021-07-01 15:00:00,683.36,638.24
16,2021-07-01 16:00:00,683.15,645.68
17,2021-07-01 17:00:00,679.36,659.57
18,2021-07-01 18:00:00,684.74,665.37
19,2021-07-01 19:00:00,688.08,665.86
20,2021-07-01 20:00:00,683.99,651.05
21,2021-07-01 21:00:00,670.68,624.36
22,2021-07-01 22:00:00,646.46,592.32
23,2021-07-01 23:00:00,609.53,569.33
24,2021-07-02 00:00:00,573.97,543.23
25,2021-07-02 01:00:00,548.74,528.36
26,2021-07-02 02:00:00,533.12,517.08
27,2021-07-02 03:00:00,556.26,519.02
28,2021-07-02 04:00:00,571.49,530.03
29,2021-07-02 05:00:00,589.96,558.27
30,2021-07-02 06:00:00,615.8,595.2
31,2021-07-02 07:00:00,641.72,627.41
32,2021-07-02 08:00:00,640.11,650.16
33,2021-07-02 09:00:00,641.22,651.57
34,2021-07-02 10:00:00,652.76,652.7
35,2021-07-02 11:00:00,657.71,652.39
36,2021-07-02 12:00:00,677.21,660.05
37,2021-07-02 13:00:00,695.76,664.37
38,2021-07-02 14:00:00,708.14,651.01
39,2021-07-02 15:00:00,716.2,641.99
40,2021-07-02 16:00:00,715.31,649.2
41,2021-07-02 17:00:00,722.32,663.35
42,2021-07-02 18:00:00,716.83,669.48
43,2021-07-02 19:00:00,715.03,670.65
44,2021-07-02 20:00:00,699.93,655.57
45,2021-07-02 21:00:00,697.73,628.04
46,2021-07-02 22:00:00,676.81,595.39
47,2021-07-02 23:00:00,646.12,572.35
48,2021-07-03 00:00:00,615.66,541.25
49,2021-07-03 01:00:00,609.55,529.54
50,2021-07-03 02:00:00,603.19,520.45
51,2021-07-03 03:00:00,605.85,523.16
52,2021-07-03 04:00:00,612.05,535.59
53,2021-07-03 05:00:00,624.94,566.02
54,2021-07-03 06:00:00,618.66,604.48
55,2021-07-03 07:00:00,638.1,637.41
56,2021-07-03 08:00:00,641.4,657.86
57,2021-07-03 09:00:00,642.34,657.19
58,2021-07-03 10:00:00,646.67,657.04
59,2021-07-03 11:00:00,648.98,656.87
60,2021-07-03 12:00:00,672.89,665.6
61,2021-07-03 13:00:00,677.77,671.69
62,2021-07-03 14:00:00,687.98,659.22
63,2021-07-03 15:00:00,684.46,649.95
64,2021-07-03 16:00:00,687.83,654.92
65,2021-07-03 17:00:00,685.91,667.19
66,2021-07-03 18:00:00,681.09,673.78
67,2021-07-03 19:00:00,680.56,675.22
68,2021-07-03 20:00:00,682.62,653.8
69,2021-07-03 21:00:00,684.32,622.04
70,2021-07-03 22:00:00,624.32,588.34
71,2021-07-03 23:00:00,507.95,566.65
72,2021-07-04 00:00:00,450.02,542.94
73,2021-07-04 01:00:00,433.75,525.83
74,2021-07-04 02:00:00,432.05,520.99
75,2021-07-04 03:00:00,431.37,519.5
76,2021-07-04 04:00:00,445.68,531.06
77,2021-07-04 05:00:00,488.43,554.49
78,2021-07-04 06:00:00,547.36,582.78
79,2021-07-04 07:00:00,623.18,608.82
80,2021-07-04 08:00:00,649.24,638.15
81,2021-07-04 09:00:00,651.05,651.14
82,2021-07-04 10:00:00,649.91,653.66
83,2021-07-04 11:00:00,648.05,655.21
84,2021-07-04 12:00:00,658.27,657.54
85,2021-07-04 13:00:00,654.71,657.74
86,2021-07-04 14:00:00,649.73,650.32
87,2021-07-04 15:00:00,654.69,649.35
88,2021-07-04 16:00:00,652.88,656.77
89,2021-07-04 17:00:00,648.44,665.56
90,2021-07-04 18:00:00,655.71,671.59
91,2021-07-04 19:00:00,672.11,673.85
92,2021-07-04 20:00:00,667.87,658.9
93,2021-07-04 21:00:00,658.69,631.12
94,2021-07-04 22:00:00,599.02,601.5
95,2021-07-04 23:00:00,525.05,575.09
96,2021-07-02 00:00:00,573.97,577.73
97,2021-07-02 01:00:00,548.74,563.9
98,2021-07-02 02:00:00,533.12,550.85
99,2021-07-02 03:00:00,556.26,550.68
100,2021-07-02 04:00:00,571.49,557.38
101,2021-07-02 05:00:00,589.96,575.35
102,2021-07-02 06:00:00,615.8,599.85
103,2021-07-02 07:00:00,641.72,619.54
104,2021-07-02 08:00:00,640.11,635.46
105,2021-07-02 09:00:00,641.22,640.78
106,2021-07-02 10:00:00,652.76,646.58
107,2021-07-02 11:00:00,657.71,650.39
108,2021-07-02 12:00:00,677.21,662.84
109,2021-07-02 13:00:00,695.76,669.42
110,2021-07-02 14:00:00,708.14,657.49
111,2021-07-02 15:00:00,716.2,650.52
112,2021-07-02 16:00:00,715.31,659.12
113,2021-07-02 17:00:00,722.32,675.37
114,2021-07-02 18:00:00,716.83,678.29
