UTC time,coal,nat_gas,oil,hydro,solar,wind,other
2023-11-25 00:00:00,0.0,839.0,0.0,56.0,20.0,26.0,3.0
2023-11-25 01:00:00,0.0,848.0,0.0,153.0,49.0,26.0,0.0
2023-11-25 02:00:00,0.0,848.0,0.0,155.0,50.0,25.0,0.0
2023-11-25 03:00:00,0.0,846.0,0.0,158.0,33.0,25.0,0.0
2023-11-25 04:00:00,0.0,851.0,0.0,144.0,21.0,25.0,0.0
2023-11-25 05:00:00,0.0,850.0,0.0,56.0,47.0,26.0,0.0
2023-11-25 06:00:00,0.0,854.0,0.0,54.0,34.0,24.0,0.0
2023-11-25 07:00:00,0.0,852.0,0.0,58.0,43.0,25.0,0.0
2023-11-25 08:00:00,0.0,854.0,0.0,53.0,39.0,25.0,0.0
2023-11-25 09:00:00,0.0,855.0,0.0,55.0,31.0,25.0,0.0
2023-11-25 10:00:00,0.0,855.0,0.0,55.0,7.0,27.0,0.0
2023-11-25 11:00:00,0.0,857.0,0.0,54.0,2.0,25.0,0.0
2023-11-25 12:00:00,0.0,857.0,0.0,55.0,1.0,25.0,0.0
2023-11-25 13:00:00,0.0,859.0,0.0,55.0,2.0,25.0,0.0
2023-11-25 14:00:00,0.0,860.0,0.0,140.0,1.0,25.0,0.0
2023-11-25 15:00:00,0.0,861.0,0.0,53.0,1.0,26.0,0.0
2023-11-25 16:00:00,0.0,860.0,0.0,54.0,1.0,25.0,0.0
2023-11-25 17:00:00,0.0,863.0,0.0,148.0,2.0,25.0,3.0
2023-11-25 18:00:00,0.0,857.0,0.0,154.0,1.0,24.0,6.0
2023-11-25 19:00:00,0.0,856.0,0.0,142.0,1.0,26.0,9.0
2023-11-25 20:00:00,0.0,850.0,0.0,52.0,1.0,25.0,6.0
2023-11-25 21:00:00,0.0,846.0,0.0,53.0,1.0,25.0,6.0
2023-11-25 22:00:00,0.0,838.0,0.0,53.0,1.0,25.0,9.0
2023-11-25 23:00:00,0.0,837.0,0.0,52.0,6.0,25.0,8.0
