UTC time,coal,nat_gas,hydro,wind,other
2023-06-26 00:00:00,0,673.0,142.0,138.0,24.0
2023-06-26 01:00:00,0,670.0,150.0,213.0,23.0
2023-06-26 02:00:00,0,666.0,150.0,120.0,25.0
2023-06-26 03:00:00,0,631.0,152.0,110.0,27.0
2023-06-26 04:00:00,0,643.0,152.0,121.0,25.0
2023-06-26 05:00:00,0,647.0,139.0,74.0,26.0
2023-06-26 06:00:00,0,683.0,40.0,58.0,25.0
2023-06-26 07:00:00,0,687.0,37.0,52.0,26.0
2023-06-26 08:00:00,0,684.0,42.0,34.0,25.0
2023-06-26 09:00:00,0,687.0,37.0,39.0,26.0
2023-06-26 10:00:00,0,691.0,37.0,34.0,25.0
2023-06-26 11:00:00,0,690.0,37.0,25.0,26.0
2023-06-26 12:00:00,0,690.0,34.0,30.0,25.0
2023-06-26 13:00:00,0,690.0,36.0,23.0,27.0
2023-06-26 14:00:00,0,691.0,37.0,25.0,26.0
2023-06-26 15:00:00,0,688.0,34.0,18.0,27.0
2023-06-26 16:00:00,0,689.0,33.0,10.0,27.0
2023-06-26 17:00:00,0,684.0,35.0,5.0,27.0
2023-06-26 18:00:00,0,679.0,34.0,1.0,27.0
2023-06-26 19:00:00,0,668.0,36.0,2.0,27.0
2023-06-26 20:00:00,0,674.0,32.0,4.0,27.0
2023-06-26 21:00:00,0,673.0,36.0,6.0,26.0
2023-06-26 22:00:00,0,671.0,34.0,91.0,27.0
2023-06-26 23:00:00,0,670.0,36.0,15.0,26.0
