UTC time,coal,nat_gas,oil,hydro,solar,wind,other
2023-03-26 00:00:00,0.0,976.0,0.0,59.0,131.0,25.0,10.0
2023-03-26 01:00:00,0.0,869.0,0.0,54.0,148.0,26.0,6.0
2023-03-26 02:00:00,0.0,1002.0,0.0,57.0,154.0,23.0,0.0
2023-03-26 03:00:00,0.0,1003.0,0.0,58.0,173.0,25.0,0.0
2023-03-26 04:00:00,0.0,1004.0,0.0,57.0,126.0,25.0,0.0
2023-03-26 05:00:00,0.0,1004.0,0.0,57.0,107.0,24.0,0.0
2023-03-26 06:00:00,0.0,981.0,0.0,56.0,98.0,25.0,0.0
2023-03-26 07:00:00,0.0,982.0,0.0,57.0,79.0,25.0,0.0
2023-03-26 08:00:00,0.0,984.0,0.0,55.0,81.0,26.0,0.0
2023-03-26 09:00:00,0.0,881.0,0.0,56.0,96.0,25.0,0.0
2023-03-26 10:00:00,0.0,865.0,0.0,55.0,84.0,24.0,0.0
2023-03-26 11:00:00,0.0,965.0,0.0,56.0,94.0,25.0,0.0
2023-03-26 12:00:00,0.0,984.0,0.0,53.0,96.0,24.0,0.0
2023-03-26 13:00:00,0.0,985.0,0.0,54.0,107.0,25.0,0.0
2023-03-26 14:00:00,0.0,982.0,0.0,53.0,102.0,25.0,0.0
2023-03-26 15:00:00,0.0,985.0,0.0,54.0,117.0,24.0,0.0
2023-03-26 16:00:00,0.0,985.0,0.0,52.0,110.0,25.0,8.0
2023-03-26 17:00:00,0.0,886.0,0.0,53.0,119.0,25.0,14.0
2023-03-26 18:00:00,0.0,806.0,0.0,53.0,89.0,23.0,15.0
2023-03-26 19:00:00,0.0,609.0,0.0,52.0,66.0,25.0,15.0
2023-03-26 20:00:00,0.0,564.0,0.0,52.0,88.0,23.0,15.0
2023-03-26 21:00:00,0.0,567.0,0.0,52.0,82.0,25.0,15.0
2023-03-26 22:00:00,0.0,664.0,0.0,53.0,63.0,25.0,15.0
2023-03-26 23:00:00,0.0,708.0,0.0,50.0,66.0,24.0,13.0
