UTC time,coal,nat_gas,hydro,wind,other
2023-10-13 00:00:00,0,582.0,123.0,25.0,3.0
2023-10-13 01:00:00,0,583.0,125.0,23.0,3.0
2023-10-13 02:00:00,0,585.0,125.0,32.0,4.0
2023-10-13 03:00:00,0,586.0,176.0,43.0,5.0
2023-10-13 04:00:00,0,588.0,176.0,130.0,4.0
2023-10-13 05:00:00,0,588.0,177.0,129.0,4.0
2023-10-13 06:00:00,0,591.0,167.0,113.0,4.0
2023-10-13 07:00:00,0,591.0,69.0,137.0,4.0
2023-10-13 08:00:00,0,592.0,68.0,142.0,5.0
2023-10-13 09:00:00,0,594.0,68.0,234.0,4.0
2023-10-13 10:00:00,0,594.0,68.0,229.0,4.0
2023-10-13 11:00:00,0,594.0,69.0,199.0,4.0
2023-10-13 12:00:00,0,594.0,68.0,193.0,4.0
2023-10-13 13:00:00,0,594.0,169.0,171.0,5.0
2023-10-13 14:00:00,0,596.0,174.0,161.0,4.0
2023-10-13 15:00:00,0,598.0,174.0,141.0,4.0
2023-10-13 16:00:00,0,649.0,174.0,154.0,4.0
2023-10-13 17:00:00,0,641.0,174.0,144.0,4.0
2023-10-13 18:00:00,0,681.0,174.0,118.0,5.0
2023-10-13 19:00:00,0,675.0,162.0,88.0,4.0
2023-10-13 20:00:00,0,670.0,68.0,77.0,4.0
2023-10-13 21:00:00,0,664.0,66.0,82.0,4.0
2023-10-13 22:00:00,0,663.0,67.0,67.0,5.0
2023-10-13 23:00:00,0,664.0,67.0,51.0,4.0
