UTC time,coal,nat_gas,hydro,wind,other
2023-05-10 00:00:00,0,149.0,106.0,115.0,22.0
2023-05-10 01:00:00,0,154.0,201.0,33.0,22.0
2023-05-10 02:00:00,0,303.0,214.0,22.0,21.0
2023-05-10 03:00:00,0,332.0,216.0,35.0,22.0
2023-05-10 04:00:00,0,324.0,214.0,36.0,21.0
2023-05-10 05:00:00,0,258.0,211.0,59.0,22.0
2023-05-10 06:00:00,0,214.0,215.0,70.0,22.0
2023-05-10 07:00:00,0,179.0,201.0,101.0,22.0
2023-05-10 08:00:00,0,148.0,105.0,80.0,22.0
2023-05-10 09:00:00,0,148.0,103.0,66.0,22.0
2023-05-10 10:00:00,0,148.0,104.0,57.0,23.0
2023-05-10 11:00:00,0,148.0,107.0,47.0,22.0
2023-05-10 12:00:00,0,151.0,205.0,30.0,23.0
2023-05-10 13:00:00,0,214.0,211.0,22.0,21.0
2023-05-10 14:00:00,0,239.0,206.0,29.0,23.0
2023-05-10 15:00:00,0,166.0,136.0,37.0,23.0
2023-05-10 16:00:00,0,149.0,114.0,24.0,20.0
2023-05-10 17:00:00,0,148.0,115.0,13.0,17.0
2023-05-10 18:00:00,0,148.0,102.0,2.0,15.0
2023-05-10 19:00:00,0,149.0,101.0,3.0,5.0
2023-05-10 20:00:00,0,149.0,100.0,2.0,5.0
2023-05-10 21:00:00,0,149.0,103.0,2.0,4.0
2023-05-10 22:00:00,0,150.0,101.0,6.0,4.0
2023-05-10 23:00:00,0,206.0,102.0,8.0,4.0
