UTC time,coal,nat_gas,hydro,wind,other
2023-09-04 00:00:00,0,609.0,118.0,446.0,25.0
2023-09-04 01:00:00,0,614.0,125.0,445.0,23.0
2023-09-04 02:00:00,0,615.0,125.0,447.0,24.0
2023-09-04 03:00:00,0,617.0,112.0,443.0,25.0
2023-09-04 04:00:00,0,619.0,16.0,408.0,25.0
2023-09-04 05:00:00,0,619.0,16.0,405.0,24.0
2023-09-04 06:00:00,0,622.0,17.0,401.0,24.0
2023-09-04 07:00:00,0,622.0,16.0,401.0,25.0
2023-09-04 08:00:00,0,625.0,17.0,427.0,25.0
2023-09-04 09:00:00,0,626.0,16.0,405.0,24.0
2023-09-04 10:00:00,0,626.0,15.0,397.0,24.0
2023-09-04 11:00:00,0,626.0,18.0,390.0,24.0
2023-09-04 12:00:00,0,627.0,18.0,379.0,25.0
2023-09-04 13:00:00,0,627.0,17.0,376.0,24.0
2023-09-04 14:00:00,0,626.0,13.0,348.0,25.0
2023-09-04 15:00:00,0,627.0,14.0,295.0,25.0
2023-09-04 16:00:00,0,604.0,15.0,188.0,25.0
2023-09-04 17:00:00,0,520.0,15.0,126.0,24.0
2023-09-04 18:00:00,0,435.0,14.0,44.0,25.0
2023-09-04 19:00:00,0,434.0,15.0,27.0,24.0
2023-09-04 20:00:00,0,445.0,15.0,18.0,26.0
2023-09-04 21:00:00,0,502.0,15.0,33.0,25.0
2023-09-04 22:00:00,0,447.0,15.0,80.0,24.0
2023-09-04 23:00:00,0,558.0,15.0,104.0,25.0
