UTC time,coal,nat_gas,hydro,wind,other
2023-03-29 00:00:00,0,951.0,47.0,329.0,27.0
2023-03-29 01:00:00,0,951.0,46.0,351.0,26.0
2023-03-29 02:00:00,0,952.0,46.0,327.0,24.0
2023-03-29 03:00:00,0,960.0,47.0,312.0,26.0
2023-03-29 04:00:00,0,966.0,46.0,331.0,27.0
2023-03-29 05:00:00,0,971.0,46.0,347.0,27.0
2023-03-29 06:00:00,0,972.0,44.0,348.0,28.0
2023-03-29 07:00:00,0,974.0,47.0,351.0,26.0
2023-03-29 08:00:00,0,1002.0,54.0,344.0,27.0
2023-03-29 09:00:00,0,1007.0,47.0,339.0,27.0
2023-03-29 10:00:00,0,1003.0,51.0,339.0,26.0
2023-03-29 11:00:00,0,1006.0,50.0,319.0,28.0
2023-03-29 12:00:00,0,1007.0,50.0,313.0,26.0
2023-03-29 13:00:00,0,1008.0,145.0,293.0,26.0
2023-03-29 14:00:00,0,994.0,147.0,229.0,27.0
2023-03-29 15:00:00,0,983.0,148.0,222.0,25.0
2023-03-29 16:00:00,0,981.0,148.0,242.0,26.0
2023-03-29 17:00:00,0,981.0,141.0,197.0,25.0
2023-03-29 18:00:00,0,982.0,49.0,141.0,23.0
2023-03-29 19:00:00,0,978.0,48.0,104.0,25.0
2023-03-29 20:00:00,0,974.0,49.0,81.0,27.0
2023-03-29 21:00:00,0,974.0,49.0,35.0,26.0
2023-03-29 22:00:00,0,972.0,48.0,17.0,28.0
2023-03-29 23:00:00,0,969.0,49.0,2.0,26.0
