UTC time,nat_gas,hydro,wind,biomass,unknown
2023-07-23 00:00:00,0.0,0.0,16.0,10.0,12.0
2023-07-23 01:00:00,0.0,0.0,16.0,9.0,11.0
2023-07-23 02:00:00,0.0,0.0,15.0,10.0,12.0
2023-07-23 03:00:00,0.0,0.0,7.0,10.0,12.0
2023-07-23 04:00:00,0.0,0.0,4.0,10.0,12.0
2023-07-23 05:00:00,0.0,0.0,9.0,10.0,13.0
2023-07-23 06:00:00,0.0,0.0,22.0,9.0,11.0
2023-07-23 07:00:00,0.0,0.0,18.0,10.0,13.0
2023-07-23 08:00:00,0.0,51.0,16.0,11.0,13.0
2023-07-23 09:00:00,0.0,51.0,18.0,11.0,13.0
2023-07-23 10:00:00,0.0,6.0,11.0,11.0,13.0
2023-07-23 11:00:00,0.0,41.0,3.0,10.0,13.0
2023-07-23 12:00:00,0.0,68.0,2.0,12.0,15.0
2023-07-23 13:00:00,0.0,68.0,1.0,8.0,10.0
2023-07-23 14:00:00,0.0,75.0,1.0,10.0,12.0
2023-07-23 15:00:00,0.0,20.0,1.0,12.0,15.0
2023-07-23 16:00:00,6.0,118.0,2.0,12.0,14.0
2023-07-23 17:00:00,6.0,151.0,3.0,12.0,14.0
2023-07-23 18:00:00,6.0,335.0,1.0,12.0,15.0
2023-07-23 19:00:00,6.0,302.0,0.0,12.0,14.0
2023-07-23 20:00:00,6.0,78.0,0.0,11.0,13.0
2023-07-23 21:00:00,6.0,35.0,0.0,10.0,12.0
2023-07-23 22:00:00,1.0,3.0,1.0,10.0,12.0
2023-07-23 23:00:00,1.0,0.0,0.0,10.0,12.0
