UTC time,nuclear,hydro,solar,wind
2023-01-18 00:00:00,3024.0,248.0,0.0,19.0
2023-01-18 01:00:00,3021.0,213.0,0.0,19.0
2023-01-18 02:00:00,3019.0,219.0,0.0,22.0
2023-01-18 03:00:00,3020.0,249.0,0.0,17.0
2023-01-18 04:00:00,3021.0,462.0,0.0,13.0
2023-01-18 05:00:00,3020.0,1526.0,0.0,12.0
2023-01-18 06:00:00,3019.0,2615.0,0.0,8.0
2023-01-18 07:00:00,3018.0,3496.0,0.0,3.0
2023-01-18 08:00:00,3019.0,3476.0,0.0,3.0
2023-01-18 09:00:00,3020.0,3141.0,0.0,2.0
2023-01-18 10:00:00,3020.0,2497.0,0.0,1.0
2023-01-18 11:00:00,3018.0,1776.0,6.0,1.0
2023-01-18 12:00:00,3014.0,1699.0,1.0,3.0
2023-01-18 13:00:00,3019.0,1389.0,0.0,9.0
2023-01-18 14:00:00,3020.0,1809.0,0.0,11.0
2023-01-18 15:00:00,3020.0,2574.0,0.0,11.0
2023-01-18 16:00:00,3021.0,2882.0,0.0,10.0
2023-01-18 17:00:00,3021.0,3271.0,0.0,11.0
2023-01-18 18:00:00,3021.0,3045.0,0.0,13.0
2023-01-18 19:00:00,3022.0,2651.0,0.0,13.0
2023-01-18 20:00:00,3023.0,1452.0,0.0,13.0
2023-01-18 21:00:00,3023.0,1366.0,0.0,13.0
2023-01-18 22:00:00,3025.0,890.0,0.0,11.0
2023-01-18 23:00:00,3025.0,1582.0,0.0,12.0
