Unnamed: 0,UTC time,carbon_intensity,nuclear,hydro,solar,wind
43728,2023-12-28 00:00:00,13.61,3024.0,482.0,0.0,51.0
43729,2023-12-28 01:00:00,13.54,3024.0,459.0,0.0,53.0
43730,2023-12-28 02:00:00,13.54,3024.0,458.0,0.0,51.0
43731,2023-12-28 03:00:00,13.58,3023.0,468.0,0.0,43.0
43732,2023-12-28 04:00:00,13.62,3021.0,481.0,0.0,42.0
43733,2023-12-28 05:00:00,13.74,3020.0,523.0,0.0,45.0
43734,2023-12-28 06:00:00,14.04,3022.0,629.0,0.0,37.0
43735,2023-12-28 07:00:00,14.28,3022.0,685.0,11.0,32.0
43736,2023-12-28 08:00:00,14.78,3024.0,673.0,77.0,35.0
43737,2023-12-28 09:00:00,15.51,3024.0,593.0,194.0,29.0
43738,2023-12-28 10:00:00,17.44,3023.0,535.0,476.0,31.0
43739,2023-12-28 11:00:00,19.65,3021.0,540.0,830.0,30.0
43740,2023-12-28 12:00:00,19.12,3019.0,539.0,743.0,44.0
43741,2023-12-28 13:00:00,16.42,3018.0,649.0,304.0,47.0
43742,2023-12-28 14:00:00,14.93,3019.0,684.0,93.0,36.0
43743,2023-12-28 15:00:00,14.78,3025.0,858.0,19.0,19.0
43744,2023-12-28 16:00:00,15.15,3018.0,1079.0,0.0,15.0
43745,2023-12-28 17:00:00,15.01,3019.0,1016.0,0.0,10.0
43746,2023-12-28 18:00:00,14.36,3018.0,746.0,0.0,19.0
43747,2023-12-28 19:00:00,13.76,3017.0,530.0,0.0,37.0
43748,2023-12-28 20:00:00,13.69,3019.0,506.0,0.0,40.0
43749,2023-12-28 21:00:00,13.9,3018.0,580.0,0.0,40.0
43750,2023-12-28 22:00:00,13.74,3019.0,525.0,0.0,46.0
43751,2023-12-28 23:00:00,13.6,3019.0,474.0,0.0,39.0
