UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-09-09 00:00:00,2024-07-17 00:00:00,3.1,2.0935385237672737,293.4410355179846,288.48970501557903,0.0397528208312499,0.0,680.0107,25318.13689,1911.44721,0.0,0.0,141.0,1771.21308,6954.8158
2023-09-09 01:00:00,2024-07-17 00:00:00,3.1,2.160432489764137,292.92170213990664,289.5273985745636,0.0,0.0,538.83493,24919.81775,1912.21686,0.0,0.0,158.0,1775.40073,8599.5414
2023-09-09 02:00:00,2024-07-17 00:00:00,3.1,2.160432489764137,292.92170213990664,289.5273985745636,0.0,0.0,502.95652,24335.4679,1907.72838,0.0,0.0,179.0,1748.3972,10788.44584
2023-09-09 03:00:00,2024-07-17 00:00:00,3.1,2.160432489764137,292.92170213990664,289.5273985745636,0.0,0.0,639.94163,24270.63472,1906.16693,0.0,0.0,189.0,1742.24048,13028.71785
2023-09-09 04:00:00,2024-07-17 00:00:00,3.1,2.356551602996764,293.1148384564217,289.606907246006,4.368338915336286,0.0,861.49338,24014.70525,1906.26282,0.0,0.0,188.00001,1758.84857,16174.23189
2023-09-09 05:00:00,2024-07-17 00:00:00,3.1,2.356551602996764,293.1148384564217,289.606907246006,4.368338915336286,0.0,834.67,23346.58914,1899.11752,0.0,136.0,189.99999,1757.36913,19173.20353
2023-09-09 06:00:00,2024-07-17 00:00:00,3.1,2.356551602996764,293.1148384564217,289.606907246006,4.368338915336286,0.0,966.64029,22733.06405,1891.84741,0.0,2331.00005,196.0,1720.26893,21732.38432
2023-09-09 07:00:00,2024-07-17 00:00:00,3.1,2.671454919586965,297.2564609471997,290.3955130393791,298.0166655095252,0.0,1109.83099,22305.9891,1893.43527,0.0,7534.99999,179.0,1696.86069,26026.36829
2023-09-09 08:00:00,2024-07-17 00:00:00,3.1,2.671454919586965,297.2564609471997,290.3955130393791,298.0166655095252,0.0,1224.85319,22267.43522,1891.30864,0.0,12485.00031,156.0,1695.23561,29632.14199
2023-09-09 09:00:00,2024-07-17 00:00:00,3.1,2.671454919586965,297.2564609471997,290.3955130393791,298.0166655095252,0.0,1193.99608,22361.60556,1880.76555,0.0,19074.00035,148.0,1722.60087,32963.22226
2023-09-09 10:00:00,2024-07-17 00:00:00,3.1,2.534533845688497,300.0357254328783,290.53740470568425,452.7717780575034,0.0,1229.58553,22774.55087,1881.0962,0.0,26229.99964,169.0,1711.34583,35823.29062
2023-09-09 11:00:00,2024-07-17 00:00:00,3.1,2.534533845688497,300.0357254328783,290.53740470568425,452.7717780575034,0.0,1073.12519,23186.31036,1882.75137,0.0,28592.00152,188.00001,1710.19413,37739.32761
2023-09-09 12:00:00,2024-07-17 00:00:00,3.1,2.534533845688497,300.0357254328783,290.53740470568425,452.7717780575034,0.0,1078.74802,23630.64681,1885.26248,0.0,29198.99932,208.00001,1707.19106,37847.76815
2023-09-09 13:00:00,2024-07-17 00:00:00,3.1,2.250556590107451,300.60611375859105,290.3710425651859,542.860183980154,0.0016010377753202,1127.97372,23990.80375,1882.62725,0.0,27942.99975,206.0,1725.05448,36276.74929
2023-09-09 14:00:00,2024-07-17 00:00:00,3.1,2.250556590107451,300.60611375859105,290.3710425651859,542.860183980154,0.0016010377753202,1267.39894,24627.47937,1883.31358,0.0,24445.99953,209.0,1715.77077,33625.21244
2023-09-09 15:00:00,2024-07-17 00:00:00,3.1,2.250556590107451,300.60611375859105,290.3710425651859,542.860183980154,0.0016010377753202,1280.83975,24789.79518,1880.71606,0.0,19924.00049,211.99999,1728.1653,29457.25817
2023-09-09 16:00:00,2024-07-17 00:00:00,3.1,2.6624211736388945,297.3848066095081,290.5993123649612,358.67488359042324,0.003836558820747,1430.82981,24547.44021,1885.49347,0.0,14352.99942,223.0,1709.16425,25188.78585
2023-09-09 17:00:00,2024-07-17 00:00:00,3.1,2.6624211736388945,297.3848066095081,290.5993123649612,358.67488359042324,0.003836558820747,1493.05464,24356.86667,1885.96515,0.0,6439.99981,329.0,1735.40911,20115.44087
2023-09-09 18:00:00,2024-07-17 00:00:00,3.1,2.6624211736388945,297.3848066095081,290.5993123649612,358.67488359042324,0.003836558820747,1396.71491,24511.58797,1886.37066,0.0,688.99998,513.0,1742.22169,14975.13375
2023-09-09 19:00:00,2024-07-17 00:00:00,3.1,3.708924592956489,295.6937653951502,290.1669745678336,0.0398184630211993,0.0,1269.99015,24596.88854,1888.07258,0.0,0.0,750.00001,1742.95557,10827.04859
