UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-09-16 00:00:00,25129.0,32019.0,10537.0,2372.0,472.0,2931.0,993.0
2023-09-16 01:00:00,24863.0,31709.0,10541.0,1937.0,6.0,2241.0,964.0
2023-09-16 02:00:00,24388.0,31243.0,10550.0,868.0,0.0,2659.0,860.0
2023-09-16 03:00:00,22846.0,28992.0,10559.0,384.0,0.0,3438.0,840.0
2023-09-16 04:00:00,21483.0,27268.0,10563.0,325.0,1.0,3726.0,840.0
2023-09-16 05:00:00,20533.0,25972.0,10567.0,297.0,1.0,4016.0,842.0
2023-09-16 06:00:00,19369.0,23870.0,10572.0,308.0,1.0,3757.0,843.0
2023-09-16 07:00:00,17470.0,23163.0,10578.0,307.0,1.0,3533.0,837.0
2023-09-16 08:00:00,16357.0,22875.0,10587.0,307.0,1.0,3656.0,839.0
2023-09-16 09:00:00,15424.0,22769.0,10588.0,299.0,1.0,3519.0,839.0
2023-09-16 10:00:00,15700.0,23235.0,10595.0,288.0,1.0,3443.0,840.0
2023-09-16 11:00:00,16779.0,23765.0,10597.0,288.0,1.0,3242.0,842.0
2023-09-16 12:00:00,17541.0,23484.0,10596.0,275.0,10.0,3235.0,841.0
2023-09-16 13:00:00,17908.0,23968.0,10600.0,296.0,368.0,3403.0,841.0
2023-09-16 14:00:00,18808.0,24721.0,10597.0,292.0,1295.0,2879.0,840.0
2023-09-16 15:00:00,19910.0,26194.0,10590.0,286.0,1969.0,1593.0,843.0
2023-09-16 16:00:00,21239.0,27139.0,10575.0,301.0,2410.0,1126.0,843.0
2023-09-16 17:00:00,21725.0,27724.0,10569.0,383.0,2532.0,1972.0,863.0
2023-09-16 18:00:00,21452.0,29424.0,10562.0,433.0,2547.0,2949.0,848.0
2023-09-16 19:00:00,22414.0,30121.0,10559.0,465.0,2347.0,3073.0,852.0
2023-09-16 20:00:00,22901.0,30131.0,10553.0,1199.0,2136.0,3414.0,847.0
2023-09-16 21:00:00,22880.0,30049.0,10550.0,1399.0,1782.0,4473.0,873.0
2023-09-16 22:00:00,23088.0,30249.0,10548.0,1901.0,1299.0,5427.0,877.0
2023-09-16 23:00:00,23213.0,30032.0,10552.0,1903.0,796.0,5875.0,857.0
