UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-10-12 00:00:00,2024-07-17 00:00:00,3.1,6.034731333423104,289.26942011172684,280.4738281853027,294.3583284917222,1.444771129443216,22886.15588,26284.86933,8571.06815,967.94217,633.31405,10708.32295,266.27257
2023-10-12 01:00:00,2024-07-17 00:00:00,3.1,5.4612578456731296,286.76021894591304,281.00562416305985,0.5046781657649767,0.6003698036490975,23157.62342,25615.44819,8573.33269,995.7375,640.20223,10983.76532,273.27855
2023-10-12 02:00:00,2024-07-17 00:00:00,3.1,5.4612578456731296,286.76021894591304,281.00562416305985,0.5046781657649767,0.6003698036490975,22946.33357,24860.21166,8567.46818,995.87618,643.95139,11192.24379,283.23398
2023-10-12 03:00:00,2024-07-17 00:00:00,3.1,5.4612578456731296,286.76021894591304,281.00562416305985,0.5046781657649767,0.6003698036490975,22474.60635,24114.7718,8567.53879,823.9441,640.39872,11504.71964,289.20938
2023-10-12 04:00:00,2024-07-17 00:00:00,3.1,5.20288904702736,285.70627203391444,280.9034740266994,0.2523737904646701,1.1821205280574218,21681.53552,23335.12949,8578.8309,677.98804,584.99478,12114.55895,286.80273
2023-10-12 05:00:00,2024-07-17 00:00:00,3.1,5.20288904702736,285.70627203391444,280.9034740266994,0.2523737904646701,1.1821205280574218,20379.20594,22667.94754,8583.42126,643.7888,526.8377,12639.0728,291.8883
2023-10-12 06:00:00,2024-07-17 00:00:00,3.1,5.20288904702736,285.70627203391444,280.9034740266994,0.2523737904646701,1.1821205280574218,18957.25919,22050.87186,8596.68346,617.50359,434.80841,12831.65939,296.5421
2023-10-12 07:00:00,2024-07-17 00:00:00,3.1,5.000406112111911,284.94007991359496,280.6244268028098,0.0,0.5521964072570482,17796.8775,21707.95649,8610.25508,605.08296,362.23485,13195.80171,299.78073
2023-10-12 08:00:00,2024-07-17 00:00:00,3.1,5.000406112111911,284.94007991359496,280.6244268028098,0.0,0.5521964072570482,16851.26531,21304.73435,8614.9555,637.60255,318.718,13541.87679,304.42922
2023-10-12 09:00:00,2024-07-17 00:00:00,3.1,5.000406112111911,284.94007991359496,280.6244268028098,0.0,0.5521964072570482,16400.3484,20861.73524,8614.63836,651.56376,284.33275,13794.45536,300.13044
2023-10-12 10:00:00,2024-07-17 00:00:00,3.1,4.959373452969519,284.4467950749947,280.3805385923101,0.0454232774949585,1.086428531083307,16435.11541,20298.04882,8616.24167,720.76931,292.83544,13918.0586,291.43888
2023-10-12 11:00:00,2024-07-17 00:00:00,3.1,4.959373452969519,284.4467950749947,280.3805385923101,0.0454232774949585,1.086428531083307,16925.23392,20050.23164,8630.06314,710.56371,305.66888,14005.5157,292.23399
2023-10-12 12:00:00,2024-07-17 00:00:00,3.1,4.959373452969519,284.4467950749947,280.3805385923101,0.0454232774949585,1.086428531083307,17835.84573,20092.07071,8643.61065,700.67454,293.83384,14090.22483,291.13973
2023-10-12 13:00:00,2024-07-17 00:00:00,3.1,5.503773295922717,286.75357739549696,280.396599220428,101.2992414473908,0.5852578180083204,18932.41128,20500.11471,8645.34918,788.54327,294.17001,14344.65967,291.68036
2023-10-12 14:00:00,2024-07-17 00:00:00,3.1,5.503773295922717,286.75357739549696,280.396599220428,101.2992414473908,0.5852578180083204,20235.05631,20992.12396,8640.44426,847.41642,322.34706,14252.84749,288.06257
2023-10-12 15:00:00,2024-07-17 00:00:00,3.1,5.503773295922717,286.75357739549696,280.396599220428,101.2992414473908,0.5852578180083204,21359.59211,21361.39453,8636.33161,861.19147,357.0404,14346.02637,289.54543
