UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-01-19 00:00:00,2024-07-17 00:00:00,3.1,9.448905582451866,286.0381313125661,282.39806077998526,0.0,1.5604100072385112,356.87598,604.85582,0.0,133.83975,0.0,2909.99988
2023-01-19 01:00:00,2024-07-17 00:00:00,3.1,9.469890578798848,285.7262311732327,282.06031658567633,0.0,1.9595406524466088,368.62611,588.21178,0.0,84.83682,0.0,2910.99996
2023-01-19 02:00:00,2024-07-17 00:00:00,3.1,9.469890578798848,285.7262311732327,282.06031658567633,0.0,1.9595406524466088,354.77917,623.90236,0.0,69.27606,0.0,2906.9999
2023-01-19 03:00:00,2024-07-17 00:00:00,3.1,9.469890578798848,285.7262311732327,282.06031658567633,0.0,1.9595406524466088,359.07238,670.67422,0.0,64.95764,0.0,2906.9999
2023-01-19 04:00:00,2024-07-17 00:00:00,3.1,9.48785471961958,285.09952815418654,281.02474847204974,0.445516116304708,3.915974273947401,358.52244,727.20282,0.0,84.62538,0.0,2913.00011
2023-01-19 05:00:00,2024-07-17 00:00:00,3.1,9.48785471961958,285.09952815418654,281.02474847204974,0.445516116304708,3.915974273947401,350.23794,776.84338,0.0,103.34564,3.0,2919.00007
2023-01-19 06:00:00,2024-07-17 00:00:00,3.1,9.48785471961958,285.09952815418654,281.02474847204974,0.445516116304708,3.915974273947401,353.94258,850.9413,0.0,123.69485,297.0,2929.99989
2023-01-19 07:00:00,2024-07-17 00:00:00,3.1,9.214992790017762,285.1746397156005,279.7590371512973,160.24810653712098,1.4175872195962744,358.32048,874.60266,0.0,111.05089,1072.99999,2955.00004
2023-01-19 08:00:00,2024-07-17 00:00:00,3.1,9.214992790017762,285.1746397156005,279.7590371512973,160.24810653712098,1.4175872195962744,348.19502,842.49383,0.0,144.33832,1756.00003,2979.99993
2023-01-19 09:00:00,2024-07-17 00:00:00,3.1,9.214992790017762,285.1746397156005,279.7590371512973,160.24810653712098,1.4175872195962744,344.77175,788.88271,0.0,182.49951,2154.99997,3006.99997
2023-01-19 10:00:00,2024-07-17 00:00:00,3.1,8.777541593766834,285.40021120826134,278.4647965872491,265.2233402063172,2.31684738630822,361.0088,832.16225,0.0,176.90563,2282.99996,3015.9999
2023-01-19 11:00:00,2024-07-17 00:00:00,3.1,8.777541593766834,285.40021120826134,278.4647965872491,265.2233402063172,2.31684738630822,369.94288,874.0528,0.0,183.92595,2155.99997,3025.00009
2023-01-19 12:00:00,2024-07-17 00:00:00,3.1,8.777541593766834,285.40021120826134,278.4647965872491,265.2233402063172,2.31684738630822,361.45485,1026.20338,0.0,175.46742,1796.99998,3025.00009
2023-01-19 13:00:00,2024-07-17 00:00:00,3.1,7.7538531698960735,285.16568484878,278.021409504437,229.21019480929093,0.3274874407937612,371.34292,1226.71903,0.0,167.47252,1199.99998,3024.00001
2023-01-19 14:00:00,2024-07-17 00:00:00,3.1,7.7538531698960735,285.16568484878,278.021409504437,229.21019480929093,0.3274874407937612,385.80514,1390.03242,0.0,208.10306,466.00001,3001.00002
2023-01-19 15:00:00,2024-07-17 00:00:00,3.1,7.7538531698960735,285.16568484878,278.021409504437,229.21019480929093,0.3274874407937612,390.92414,1522.03917,0.0,274.22254,21.0,2973.99998
