datetime,avg_hydro_production_forecast
2023-06-27T00:00:00.000000000,2584.72412
2023-06-27T01:00:00.000000000,2585.04576
2023-06-27T02:00:00.000000000,2587.22301
2023-06-27T03:00:00.000000000,2589.89427
2023-06-27T04:00:00.000000000,2592.06881
2023-06-27T05:00:00.000000000,2597.34527
2023-06-27T06:00:00.000000000,2599.13416
2023-06-27T07:00:00.000000000,2595.89871
2023-06-27T08:00:00.000000000,2596.95062
2023-06-27T09:00:00.000000000,2595.5933
2023-06-27T10:00:00.000000000,2595.9712
2023-06-27T11:00:00.000000000,2600.74085
2023-06-27T12:00:00.000000000,2604.81084
2023-06-27T13:00:00.000000000,2608.73309
2023-06-27T14:00:00.000000000,2611.55758
2023-06-27T15:00:00.000000000,2616.49988
2023-06-27T16:00:00.000000000,2622.4564
2023-06-27T17:00:00.000000000,2625.61097
2023-06-27T18:00:00.000000000,2628.1072
2023-06-27T19:00:00.000000000,2631.09298
2023-06-27T20:00:00.000000000,2635.54411
2023-06-27T21:00:00.000000000,2640.05122
2023-06-27T22:00:00.000000000,2645.82045
2023-06-27T23:00:00.000000000,2652.29289
2023-06-28T00:00:00.000000000,2646.49016
2023-06-28T01:00:00.000000000,2646.75578
2023-06-28T02:00:00.000000000,2648.88588
2023-06-28T03:00:00.000000000,2651.41681
2023-06-28T04:00:00.000000000,2653.49111
2023-06-28T05:00:00.000000000,2658.85849
2023-06-28T06:00:00.000000000,2661.01383
2023-06-28T07:00:00.000000000,2657.95417
2023-06-28T08:00:00.000000000,2658.97938
2023-06-28T09:00:00.000000000,2657.44437
2023-06-28T10:00:00.000000000,2657.66915
2023-06-28T11:00:00.000000000,2662.21185
2023-06-28T12:00:00.000000000,2666.1443
2023-06-28T13:00:00.000000000,2669.93025
2023-06-28T14:00:00.000000000,2672.7474
2023-06-28T15:00:00.000000000,2677.54381
2023-06-28T16:00:00.000000000,2683.33375
2023-06-28T17:00:00.000000000,2686.41153
2023-06-28T18:00:00.000000000,2688.85113
2023-06-28T19:00:00.000000000,2691.80134
2023-06-28T20:00:00.000000000,2696.09065
2023-06-28T21:00:00.000000000,2700.42503
2023-06-28T22:00:00.000000000,2706.02785
2023-06-28T23:00:00.000000000,2712.36853
2023-06-29T00:00:00.000000000,2703.84757
2023-06-29T01:00:00.000000000,2704.06111
2023-06-29T02:00:00.000000000,2706.14743
2023-06-29T03:00:00.000000000,2708.54805
2023-06-29T04:00:00.000000000,2710.52929
2023-06-29T05:00:00.000000000,2715.98109
2023-06-29T06:00:00.000000000,2718.47673
2023-06-29T07:00:00.000000000,2715.58034
2023-06-29T08:00:00.000000000,2716.58075
2023-06-29T09:00:00.000000000,2714.88073
2023-06-29T10:00:00.000000000,2714.9633
2023-06-29T11:00:00.000000000,2719.29523
2023-06-29T12:00:00.000000000,2723.09997
2023-06-29T13:00:00.000000000,2726.75933
2023-06-29T14:00:00.000000000,2729.56969
2023-06-29T15:00:00.000000000,2734.23064
2023-06-29T16:00:00.000000000,2739.86587
2023-06-29T17:00:00.000000000,2742.87234
2023-06-29T18:00:00.000000000,2745.25935
2023-06-29T19:00:00.000000000,2748.17656
2023-06-29T20:00:00.000000000,2752.31556
2023-06-29T21:00:00.000000000,2756.48957
2023-06-29T22:00:00.000000000,2761.93782
2023-06-29T23:00:00.000000000,2768.15616
2023-06-30T00:00:00.000000000,2760.75366
2023-06-30T01:00:00.000000000,2760.9156
2023-06-30T02:00:00.000000000,2762.95846
2023-06-30T03:00:00.000000000,2765.22983
2023-06-30T04:00:00.000000000,2767.11871
2023-06-30T05:00:00.000000000,2772.65428
2023-06-30T06:00:00.000000000,2775.48752
2023-06-30T07:00:00.000000000,2772.75311
2023-06-30T08:00:00.000000000,2773.72892
2023-06-30T09:00:00.000000000,2771.86518
2023-06-30T10:00:00.000000000,2771.80669
2023-06-30T11:00:00.000000000,2775.92953
2023-06-30T12:00:00.000000000,2779.60754
2023-06-30T13:00:00.000000000,2783.1413
2023-06-30T14:00:00.000000000,2785.94491
2023-06-30T15:00:00.000000000,2790.47146
2023-06-30T16:00:00.000000000,2795.95322
2023-06-30T17:00:00.000000000,2798.88895
2023-06-30T18:00:00.000000000,2801.22378
2023-06-30T19:00:00.000000000,2804.10824
2023-06-30T20:00:00.000000000,2808.09809
2023-06-30T21:00:00.000000000,2812.11297
2023-06-30T22:00:00.000000000,2817.40796
2023-06-30T23:00:00.000000000,2823.50486
