,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2019-01-01 00:00:00,115.68,629.0,2521.0,7334.0,1815.0,0.0,26.0
1,2019-01-01 01:00:00,117.26,547.0,2636.0,7331.0,1450.0,0.0,26.0
2,2019-01-01 02:00:00,124.49,535.0,2686.0,7330.0,792.0,0.0,26.0
3,2019-01-01 03:00:00,120.13,517.0,2436.0,7334.0,585.0,0.0,26.0
4,2019-01-01 04:00:00,102.81,323.0,2187.0,7329.0,539.0,0.0,26.0
5,2019-01-01 05:00:00,91.98,188.0,2103.0,7330.0,529.0,0.0,26.0
6,2019-01-01 06:00:00,84.12,198.0,1728.0,7332.0,283.0,0.0,26.0
7,2019-01-01 07:00:00,84.14,198.0,1660.0,7327.0,55.0,0.0,26.0
8,2019-01-01 08:00:00,84.76,196.0,1671.0,7335.0,0.0,0.0,26.0
9,2019-01-01 09:00:00,86.71,195.0,1737.0,7335.0,0.0,0.0,26.0
10,2019-01-01 10:00:00,86.53,201.0,1717.0,7336.0,0.0,0.0,26.0
11,2019-01-01 11:00:00,87.9,196.0,1772.0,7330.0,0.0,0.0,26.0
12,2019-01-01 12:00:00,89.9,195.0,1847.0,7337.0,0.0,11.0,26.0
13,2019-01-01 13:00:00,91.6,200.0,1906.0,7337.0,0.0,53.0,26.0
14,2019-01-01 14:00:00,89.68,199.0,1856.0,7337.0,0.0,93.0,26.0
15,2019-01-01 15:00:00,89.95,199.0,1896.0,7340.0,40.0,146.0,26.0
16,2019-01-01 16:00:00,87.18,199.0,1926.0,7332.0,433.0,164.0,26.0
17,2019-01-01 17:00:00,83.99,203.0,1864.0,7340.0,604.0,189.0,26.0
18,2019-01-01 18:00:00,84.04,214.0,1846.0,7338.0,631.0,185.0,26.0
19,2019-01-01 19:00:00,85.89,211.0,1917.0,7343.0,633.0,169.0,26.0
20,2019-01-01 20:00:00,92.64,215.0,2156.0,7342.0,632.0,165.0,26.0
21,2019-01-01 21:00:00,103.6,223.0,2524.0,7342.0,554.0,126.0,26.0
22,2019-01-01 22:00:00,105.95,223.0,2587.0,7348.0,559.0,32.0,26.0
23,2019-01-01 23:00:00,103.29,220.0,2757.0,7344.0,1291.0,2.0,26.0
24,2019-01-02 00:00:00,105.64,220.0,2838.0,7347.0,1233.0,0.0,26.0
25,2019-01-02 01:00:00,108.86,217.0,2888.0,7345.0,992.0,0.0,26.0
26,2019-01-02 02:00:00,111.29,218.0,2874.0,7347.0,713.0,0.0,26.0
27,2019-01-02 03:00:00,108.0,221.0,2688.0,7347.0,620.0,0.0,26.0
28,2019-01-02 04:00:00,106.84,216.0,2498.0,7353.0,234.0,0.0,26.0
29,2019-01-02 05:00:00,107.18,224.0,2394.0,7348.0,0.0,0.0,26.0
30,2019-01-02 06:00:00,105.76,221.0,2349.0,7351.0,0.0,0.0,26.0
31,2019-01-02 07:00:00,106.81,222.0,2386.0,7351.0,0.0,0.0,26.0
32,2019-01-02 08:00:00,104.74,220.0,2313.0,7351.0,0.0,0.0,26.0
33,2019-01-02 09:00:00,104.73,217.0,2320.0,7351.0,0.0,0.0,26.0
34,2019-01-02 10:00:00,108.16,218.0,2450.0,7357.0,0.0,0.0,26.0
35,2019-01-02 11:00:00,110.91,224.0,2539.0,7351.0,0.0,0.0,26.0
36,2019-01-02 12:00:00,107.47,221.0,2735.0,7351.0,773.0,12.0,26.0
37,2019-01-02 13:00:00,100.2,215.0,2839.0,7357.0,1772.0,54.0,26.0
38,2019-01-02 14:00:00,103.82,223.0,2985.0,7354.0,1725.0,102.0,26.0
39,2019-01-02 15:00:00,100.57,215.0,2833.0,7357.0,1641.0,124.0,26.0
