Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
42480,2023-11-06 00:00:00,95.0,45.0,25.0,0.0,96.0,80.0,14.0
42481,2023-11-06 01:00:00,93.82,45.0,25.0,0.0,89.0,80.0,12.0
42482,2023-11-06 02:00:00,100.94,45.0,25.0,0.0,76.0,80.0,13.0
42483,2023-11-06 03:00:00,104.44,45.0,25.0,0.0,67.0,81.0,13.0
42484,2023-11-06 04:00:00,94.27,45.0,47.0,0.0,72.0,84.0,14.0
42485,2023-11-06 05:00:00,84.11,45.0,91.0,0.0,83.0,84.0,18.0
42486,2023-11-06 06:00:00,103.46,45.0,88.0,11.0,97.0,84.0,36.0
42487,2023-11-06 07:00:00,96.67,46.0,96.0,30.0,118.0,84.0,40.0
42488,2023-11-06 08:00:00,82.77,46.0,88.0,34.0,138.0,84.0,31.0
42489,2023-11-06 09:00:00,73.2,46.0,79.0,43.0,193.0,84.0,31.0
42490,2023-11-06 10:00:00,57.02,46.0,95.0,55.0,291.0,84.0,30.0
42491,2023-11-06 11:00:00,47.2,46.0,97.0,76.0,325.0,85.0,24.0
42492,2023-11-06 12:00:00,45.76,46.0,71.0,54.0,383.0,84.0,23.0
42493,2023-11-06 13:00:00,44.41,46.0,53.0,32.0,443.0,84.0,23.0
42494,2023-11-06 14:00:00,37.85,46.0,47.0,16.0,498.0,84.0,17.0
42495,2023-11-06 15:00:00,35.18,46.0,71.0,0.0,513.0,84.0,15.0
42496,2023-11-06 16:00:00,41.57,46.0,88.0,0.0,524.0,85.0,26.0
42497,2023-11-06 17:00:00,42.05,46.0,93.0,0.0,560.0,86.0,30.0
42498,2023-11-06 18:00:00,42.1,46.0,88.0,0.0,564.0,86.0,30.0
42499,2023-11-06 19:00:00,31.69,46.0,47.0,0.0,598.0,86.0,14.0
42500,2023-11-06 20:00:00,29.81,46.0,39.0,0.0,657.0,85.0,14.0
42501,2023-11-06 21:00:00,28.49,46.0,31.0,0.0,703.0,86.0,14.0
42502,2023-11-06 22:00:00,30.38,45.0,25.0,0.0,663.0,84.0,15.0
42503,2023-11-06 23:00:00,29.79,41.0,25.0,0.0,651.0,85.0,16.0
