UTC time,nat_gas,hydro,solar,wind,biomass,unknown
2023-03-12 00:00:00,28.0,24.0,0.0,338.0,88.0,8.0
2023-03-12 01:00:00,28.0,24.0,0.0,306.0,88.0,8.0
2023-03-12 02:00:00,28.0,24.0,0.0,265.0,88.0,8.0
2023-03-12 03:00:00,28.0,35.0,0.0,316.0,89.0,8.0
2023-03-12 04:00:00,28.0,31.0,0.0,390.0,88.0,9.0
2023-03-12 05:00:00,29.0,25.0,5.0,504.0,88.0,9.0
2023-03-12 06:00:00,29.0,25.0,18.0,494.0,88.0,8.0
2023-03-12 07:00:00,30.0,72.0,31.0,474.0,88.0,8.0
2023-03-12 08:00:00,30.0,24.0,71.0,530.0,88.0,8.0
2023-03-12 09:00:00,30.0,50.0,122.0,603.0,88.0,8.0
2023-03-12 10:00:00,30.0,50.0,147.0,584.0,88.0,8.0
2023-03-12 11:00:00,30.0,25.0,153.0,556.0,88.0,7.0
2023-03-12 12:00:00,30.0,25.0,104.0,554.0,88.0,7.0
2023-03-12 13:00:00,30.0,25.0,82.0,578.0,88.0,7.0
2023-03-12 14:00:00,30.0,24.0,51.0,588.0,88.0,7.0
2023-03-12 15:00:00,30.0,24.0,14.0,553.0,88.0,8.0
2023-03-12 16:00:00,30.0,46.0,0.0,478.0,88.0,8.0
2023-03-12 17:00:00,30.0,46.0,0.0,401.0,88.0,7.0
2023-03-12 18:00:00,31.0,46.0,0.0,393.0,88.0,8.0
2023-03-12 19:00:00,31.0,45.0,0.0,387.0,88.0,8.0
2023-03-12 20:00:00,31.0,24.0,0.0,342.0,88.0,8.0
2023-03-12 21:00:00,30.0,24.0,0.0,339.0,88.0,7.0
2023-03-12 22:00:00,30.0,24.0,0.0,358.0,88.0,7.0
2023-03-12 23:00:00,30.0,24.0,0.0,387.0,88.0,8.0
