Region,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,Total
AT,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,86.7827868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.642531876138435
BG,0.2163023679417122,0.2163023679417122,0.2163023679417122,,0.2163023679417122,0.011384335154826957,0.011384335154826957,0.07969034608378871,,,0.13254618787405675
HR,0.01707650273224044,0.01707650273224044,,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,2.131716757741348,0.01707650273224044,0.2434982797004655
CZ,0.005692167577413479,0.005692167577413479,0.005692167577413479,0.01707650273224044,0.005692167577413479,0.011384335154826957,0.005692167577413479,0.005692167577413479,,0.00853825136612022,0.005059704513256426
DK,0.011384335154826957,0.01707650273224044,,0.014230418943533699,,0.00853825136612022,0.005692167577413479,0.011384335154826957,,,0.008538251366120218
EE,0.06261384335154827,0.06261384335154827,,,0.06261384335154827,0.03415300546448088,0.059767759562841534,0.06261384335154827,,0.06261384335154827,0.043911007025761124
FI,0.0,0.0,0.0,0.0,0.0,99.7893897996357,0.0,0.0,,0.0,11.087709977737301
FR,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,,,0.00853825136612022
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007115209471766848,0.0,7.11520947176685e-05
GB,0.11384335154826959,0.11384335154826959,0.11384335154826959,0.11384335154826959,0.11384335154826959,0.036999089253187616,0.036999089253187616,0.11384335154826959,,0.11384335154826959,0.08805071721311475
GR,0.05407559198542805,0.05407559198542805,,0.05407559198542805,0.05407559198542805,0.09676684881602915,0.09676684881602915,,,,0.0546448087431694
HU,0.010672814207650273,0.010672814207650273,0.010672814207650273,0.010672814207650273,0.010672814207650273,18.09611224954463,0.0014230418943533697,0.010672814207650273,42.48918488160292,0.010672814207650273,6.0654314663023685
IE,2.6297814207650276,2.6297814207650276,,2.6297814207650276,2.6297814207650276,,2.6297814207650276,,,2.6297814207650276,1.5778688524590163
IT,0.0,0.0,,0.06830601092896176,0.0,0.0,0.0,0.0,0.0,0.34153005464480873,0.04553734061930783
LV,,0.20491803278688525,,,0.20491803278688525,,0.20491803278688525,0.20491803278688525,,0.20491803278688525,0.1280737704918033
LT,,0.17076502732240437,,,0.17076502732240437,0.17076502732240437,0.17076502732240437,0.17076502732240437,,0.17076502732240437,0.0853825136612022
NL,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
PL,0.0,0.0,,0.0,0.0,31.7566029143898,0.0,0.0,,,5.2927671523983
PT,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RO,0.9292463570127505,0.9320924408014571,0.9320924408014571,,0.9320924408014571,0.9320924408014571,0.9320924408014571,0.9320924408014571,,,0.5449064587128111
RS,0.0,0.0,,,0.0,,80.56409380692168,0.34153005464480873,,0.34153005464480873,16.249430783242257
SK,0.1366120218579235,0.1366120218579235,0.1366120218579235,0.1366120218579235,0.1366120218579235,0.1366120218579235,0.1366120218579235,0.1366120218579235,,0.1366120218579235,0.07684426229508197
SI,0.0939207650273224,0.0939207650273224,0.0939207650273224,0.0939207650273224,0.0939207650273224,0.011384335154826957,0.0939207650273224,0.0939207650273224,,,0.077911543715847
ES,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.03415300546448088,0.017076502732240435
SE,,73.70503187613843,0.005692167577413479,,0.005692167577413479,73.70503187613843,0.005692167577413479,,,0.005692167577413479,29.48315118397086
CH,,,0.0,,0.0,0.0,0.0,,,,0.0
