Region,solar,wind,Total
AT,0.0,0.0,0.0
BE,0.0,0.0,0.0
BG,2.897313296903461,1.3177367941712204,2.1075250455373404
HR,,,0.0
CZ,0.0,,0.0
DK,1.2295081967213115,0.3415300546448088,0.6375227686703097
EE,42.40664845173042,0.7485200364298725,21.577584244080146
FI,15.292008196721312,0.13091985428051003,7.71146402550091
FR,0.9249772313296903,0.8509790528233151,0.8879781420765027
DE,0.0,0.0,0.0
GB,0.1366120218579235,0.1366120218579235,0.1366120218579235
GR,0.7513661202185792,0.7513661202185792,0.7513661202185792
HU,0.0,0.06830601092896176,0.03415300546448088
IE,,1.366120218579235,1.366120218579235
IT,3.6202185792349724,48.97256375227686,26.29639116575592
LV,,0.1366120218579235,0.1366120218579235
LT,0.06830601092896176,0.06830601092896176,0.06830601092896176
NL,0.0,0.0,0.0
PL,31.7566029143898,0.06830601092896176,15.912454462659381
PT,,,0.0
RO,0.20491803278688525,0.20491803278688525,0.20491803278688525
RS,,,0.0
SK,0.273224043715847,0.273224043715847,0.273224043715847
SI,0.21061020036429873,,0.21061020036429873
ES,0.0028460837887067394,0.07115209471766848,0.036999089253187616
SE,72.94797358834244,0.20491803278688525,36.576445810564664
CH,0.0,0.0,0.0
