Region,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,Total
AT,0,0,,0,0,0,0,0,0,0,0
BE,0,0,0,0,0,0,0,0,,0,1829520
BG,120,120,120,,120,120,120,120,,,4440
HR,180,180,,180,180,180,180,180,180,180,296700
CZ,60,60,60,60,60,60,60,60,,60,480
DK,60,60,,60,,60,60,60,,,300
EE,300,300,,,300,300,300,300,,300,1200
FI,0,0,0,0,0,0,0,0,,0,2103720
FR,180,180,180,180,180,180,180,180,,,180
DE,0,0,0,0,0,0,0,0,0,0,1794360
GB,390,390,390,390,390,390,390,390,,390,2010
GR,480,480,,480,480,480,480,,,,1740
HU,15,15,15,15,15,15,15,15,15,15,895725
IE,27720,27720,,27720,27720,,27720,,,27720,27720
IT,0,0,,0,0,0,0,0,0,0,1788360
LV,,2160,,,2160,,2160,2160,,2160,2160
LT,,1800,,,1800,1800,1800,1800,,1800,1800
NL,0,0,0,,0,0,0,0,,0,945
PL,0,0,,0,0,0,0,0,,,669480
PT,0,0,,,0,0,0,0,,0,744360
RO,9795,9795,9795,,9795,9795,9795,9795,,,9855
RS,0,0,,,0,,0,0,,0,1704240
SK,1440,1440,1440,1440,1440,1440,1440,1440,,1440,1440
SI,120,120,120,120,120,120,120,120,,,1860
ES,360,360,360,360,360,360,360,360,360,360,360
SE,,60,60,,60,60,60,,,60,2021760
CH,,,0,,0,0,0,,,,0
