Region,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,Total
AT,0,0,,0,0,0,0,0,0,0,0
BE,1829520,0,0,0,0,0,0,0,,0,1829520
BG,4440,4440,4440,,4440,120,120,4440,,,4440
HR,180,180,,180,180,180,180,296700,44760,180,296700
CZ,60,60,60,300,120,180,60,240,,120,480
DK,180,300,,240,,120,120,240,,,300
EE,1020,1020,,,1020,420,960,1020,,1020,1200
FI,0,0,0,0,0,2103720,0,0,,0,2103720
FR,180,180,180,180,180,180,180,180,,,180
DE,0,319800,0,0,0,0,0,0,15,0,1794360
GB,2010,2010,2010,2010,2010,390,390,2010,,2010,2010
GR,660,660,,660,660,1560,1560,,,,1740
HU,895725,210,210,210,210,381480,15,210,895725,210,895725
IE,27720,27720,,27720,27720,,27720,,,27720,27720
IT,0,33120,,1440,1440,0,1788360,0,0,7200,1788360
LV,,2160,,,2160,,2160,2160,,2160,2160
LT,,1800,,,1800,1800,1800,1800,,1800,1800
NL,0,0,0,,0,0,0,945,,0,945
PL,0,0,,0,0,669480,0,0,,,669480
PT,0,0,,,0,0,744360,0,,0,744360
RO,9795,9855,9855,,9855,9855,9855,9855,,,9855
RS,0,0,,,0,,1698420,7200,,7200,1704240
SK,1440,1440,1440,1440,1440,1440,1440,1440,,1440,1440
SI,1860,1860,1860,1860,1860,120,1860,1860,,,1860
ES,360,360,360,360,360,360,360,360,360,360,360
SE,,1553760,60,,60,1553760,60,,,2021760,2021760
CH,,,0,,0,0,0,,,,0
