Region,solar,wind,Total
AT,0.0,0.0,0.0
BE,0.0,0.0,0.0
BG,3.9702868852459017,2.390710382513661,4.215050091074682
HR,,,0.0
CZ,,,0.0
DK,1.5027322404371584,0.546448087431694,1.5027322404371586
EE,43.15516848816029,1.497040072859745,43.15516848816029
FI,15.422928051001822,0.26183970856102007,15.422928051001822
FR,1.4799635701275045,1.4059653916211292,1.7759562841530054
DE,0.0,0.0,0.0
GB,0.273224043715847,0.273224043715847,0.273224043715847
GR,1.5027322404371584,1.5027322404371584,1.5027322404371584
HU,0.0,0.06830601092896176,0.06830601092896176
IE,,,0.0
IT,6.898907103825136,52.251252276867035,52.592782331511835
LV,,,0.0
LT,0.1366120218579235,0.1366120218579235,0.1366120218579235
NL,0.0,0.0,0.0
PL,31.824908925318763,0.1366120218579235,31.82490892531876
PT,,,0.0
RO,0.4098360655737705,0.4098360655737705,0.4098360655737705
RS,,,0.0
SK,0.546448087431694,0.546448087431694,0.546448087431694
SI,,,0.0
ES,0.005692167577413479,0.07399817850637523,0.07399817850637522
SE,73.15289162112933,0.4098360655737705,73.15289162112931
CH,0.0,0.0,0.0
