Region,solar,wind,Total
AT,0,0,0
BE,0,0,0
BG,61080,27780,66240
HR,,,0
CZ,0,,0
DK,25920,5760,25920
EE,894000,15780,894000
FI,322380,2760,322380
FR,19500,17940,25740
DE,0,0,0
GB,2880,2880,2880
GR,15840,15840,15840
HU,0,1440,1440
IE,,28800,28800
IT,76320,1032420,1039620
LV,,2880,2880
LT,1440,1440,1440
NL,0,0,0
PL,669480,1440,669480
PT,,,0
RO,4320,4320,4320
RS,,,0
SK,5760,5760,5760
SI,4440,,4440
ES,60,1500,1500
SE,1537860,4320,1537860
CH,0,0,0
