Region,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,Total
AT,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,86.7827868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.889344262295082
BG,0.21061020036429873,0.21061020036429873,0.21061020036429873,,0.21061020036429873,0.005692167577413479,0.005692167577413479,0.14230418943533696,,,0.1559653916211293
HR,0.00853825136612022,0.00853825136612022,,0.00853825136612022,0.00853825136612022,0.00853825136612022,0.00853825136612022,7.041211293260473,2.1231785063752278,0.00853825136612022,1.4794461003477395
CZ,0.0028460837887067394,0.0028460837887067394,0.0028460837887067394,0.014230418943533699,0.004269125683060109,0.00853825136612022,0.0028460837887067394,0.007115209471766849,,0.005692167577413479,0.0052855841790268015
DK,0.00853825136612022,0.014230418943533699,,0.011384335154826957,,0.005692167577413479,0.004269125683060109,0.009961293260473588,,,0.008538251366120218
EE,0.048383424408014575,0.048383424408014575,,,0.048383424408014575,0.019922586520947177,0.04553734061930783,0.048383424408014575,,0.048383424408014575,0.045537340619307844
FI,0.0,0.0,0.0,0.0,0.0,99.7893897996357,0.0,0.0,,0.0,8.315782483302975
FR,0.00853825136612022,0.00853825136612022,0.00853825136612022,0.00853825136612022,0.00853825136612022,0.00853825136612022,0.00853825136612022,0.00853825136612022,,,0.00853825136612022
DE,0.0,42.557490892531874,0.0,0.0,0.0,0.0,0.0,0.0,0.0007115209471766848,0.0,5.319730831625683
GB,0.09534380692167578,0.09534380692167578,0.09534380692167578,0.09534380692167578,0.09534380692167578,0.018499544626593808,0.018499544626593808,0.09534380692167578,,0.09534380692167578,0.07229052823315119
GR,0.03130692167577413,0.03130692167577413,,0.03130692167577413,0.03130692167577413,0.07399817850637523,0.07399817850637523,,,,0.04553734061930783
HU,21.249217326958107,0.009961293260473588,0.009961293260473588,0.009961293260473588,0.009961293260473588,18.09540072859745,0.0007115209471766848,0.009961293260473588,42.48847336065574,0.009961293260473588,7.369476564532917
IE,1.3148907103825138,1.3148907103825138,,1.3148907103825138,1.3148907103825138,,1.3148907103825138,,,1.3148907103825138,1.3148907103825138
IT,0.0,0.7855191256830601,,0.06830601092896176,0.03415300546448088,0.0,42.41518670309654,0.0,0.0,0.34153005464480873,6.683042594927841
LV,,0.10245901639344263,,,0.10245901639344263,,0.10245901639344263,0.10245901639344263,,0.10245901639344263,0.10245901639344263
LT,,0.08538251366120218,,,0.08538251366120218,0.08538251366120218,0.08538251366120218,0.08538251366120218,,0.08538251366120218,0.08538251366120218
NL,0.0,0.0,0.0,,0.0,0.0,0.0,0.022412909836065573,,0.0,0.0044825819672131145
PL,0.0,0.0,,0.0,0.0,31.7566029143898,0.0,0.0,,,3.17566029143898
PT,0.0,0.0,,,0.0,0.0,17.654257741347905,0.0,,0.0,3.9231683869662013
RO,0.46462317850637525,0.46746926229508196,0.46746926229508196,,0.46746926229508196,0.46746926229508196,0.46746926229508196,0.46746926229508196,,,0.4668367992309251
RS,0.0,0.0,,,0.0,,80.56409380692168,0.34153005464480873,,0.34153005464480873,11.60673627374447
SK,0.06830601092896176,0.06830601092896176,0.06830601092896176,0.06830601092896176,0.06830601092896176,0.06830601092896176,0.06830601092896176,0.06830601092896176,,0.06830601092896176,0.06830601092896176
SI,0.08822859744990894,0.08822859744990894,0.08822859744990894,0.08822859744990894,0.08822859744990894,0.005692167577413479,0.08822859744990894,0.08822859744990894,,,0.07905788301963164
ES,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.01707650273224044,0.017076502732240435,0.01707650273224044
SE,,73.70218579234972,0.0028460837887067394,,0.0028460837887067394,73.70218579234972,0.0028460837887067394,,,47.9522427140255,34.759627894873795
CH,,,0.0,,0.0,0.0,0.0,,,,0.0
