UTC Time,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
Total Missing Minutes,0,0,0,0,0,0,0,0,0,0
Percentage per Source,0,0,0,0,0,0,0,0,0,0
