UTC time,wind,hydro,solar,other,nuclear,nat_gas
2023-03-03T00,2633,4183,32,212,1147,616
2023-03-03T01,2630,5554,23,212,1151,617
2023-03-03T02,2443,7007,5,217,1154,638
2023-03-03T03,2455,7392,0,214,1155,638
2023-03-03T04,2356,7408,-2,219,1157,640
2023-03-03T05,2431,6971,1,215,1159,639
2023-03-03T06,2508,6406,0,214,1161,639
2023-03-03T07,2306,5966,-1,214,1162,636
2023-03-03T08,2097,5513,-2,221,1163,714
2023-03-03T09,1902,4409,3,215,1162,826
2023-03-03T10,1842,4455,0,212,1163,835
2023-03-03T11,1813,4300,-1,213,1162,906
2023-03-03T12,1955,4430,-1,214,1163,930
2023-03-03T13,1821,5056,-1,215,1163,931
2023-03-03T14,1676,5733,0,218,1162,931
2023-03-03T15,1636,6652,0,214,1162,940
2023-03-03T16,1730,6963,14,214,1162,939
2023-03-03T17,1953,6424,43,212,1159,940
2023-03-03T18,1895,6105,66,211,1156,940
2023-03-03T19,1816,5387,77,215,1156,936
2023-03-03T20,1753,5044,76,207,1156,935
2023-03-03T21,1955,4352,82,210,1156,936
2023-03-03T22,1948,4272,70,210,1154,934
2023-03-03T23,2011,4374,78,214,1153,933
