UTC time,wind,hydro,solar,other,nuclear,nat_gas
2023-03-02T00,1781,5047,123,174,1155,969
2023-03-02T01,2126,5910,58,178,1157,972
2023-03-02T02,2291,6518,4,179,1156,1020
2023-03-02T03,2335,6995,0,179,1157,1020
2023-03-02T04,2401,7063,0,179,1161,1020
2023-03-02T05,2469,6550,-1,178,1159,1019
2023-03-02T06,2433,6234,0,182,1161,1022
2023-03-02T07,2309,5279,-1,174,1161,1015
2023-03-02T08,2111,4743,0,177,1162,934
2023-03-02T09,1979,5144,-1,171,1160,649
2023-03-02T10,1967,5096,-1,176,1159,633
2023-03-02T11,2107,5057,-2,174,1160,633
2023-03-02T12,2051,5213,0,178,1158,633
2023-03-02T13,1860,5677,-1,174,1159,630
2023-03-02T14,1784,6460,0,174,1160,653
2023-03-02T15,1847,7791,-1,174,1159,663
2023-03-02T16,1688,8158,9,187,1158,662
2023-03-02T17,1458,7982,21,205,1155,663
2023-03-02T18,1330,7353,49,188,1157,664
2023-03-02T19,1385,6226,50,188,1151,637
2023-03-02T20,1718,5488,49,203,1149,635
2023-03-02T21,2164,4576,55,205,1146,637
2023-03-02T22,2444,3940,59,207,1146,637
2023-03-02T23,2572,4041,39,207,1146,636
