UTC time,wind,hydro,solar,other,nuclear,nat_gas
2023-03-01T00,43,5975,60,163,1164,956
2023-03-01T01,197,7348,27,168,1160,959
2023-03-01T02,232,8054,2,174,1161,1006
2023-03-01T03,113,8379,0,178,1160,1030
2023-03-01T04,185,8100,-1,183,1161,1031
2023-03-01T05,270,7996,-1,180,1161,1031
2023-03-01T06,286,7493,-1,181,1161,1021
2023-03-01T07,307,6950,0,183,1161,1014
2023-03-01T08,254,6442,-2,176,1160,1030
2023-03-01T09,222,5284,0,174,1160,1011
2023-03-01T10,188,5182,0,177,1159,1011
2023-03-01T11,196,5200,-1,181,1161,1009
2023-03-01T12,256,5441,-1,180,1161,1012
2023-03-01T13,264,6074,-1,181,1161,1034
2023-03-01T14,282,7801,-1,177,1162,1034
2023-03-01T15,388,9333,1,172,1164,1012
2023-03-01T16,439,9812,11,175,1164,1045
2023-03-01T17,378,9218,54,176,1164,1014
2023-03-01T18,471,7644,78,175,1162,1050
2023-03-01T19,612,6681,120,177,1161,1022
2023-03-01T20,803,6343,118,176,1155,948
2023-03-01T21,988,5684,113,177,1152,923
2023-03-01T22,1171,5390,112,176,1152,933
2023-03-01T23,1396,4915,127,177,1152,946
