UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-04-22 00:00:00,269.0,156.0,43.0,1.0,1787.0,568.0
2023-04-22 01:00:00,270.0,156.0,43.0,0.0,1751.0,627.0
2023-04-22 02:00:00,268.0,154.0,43.0,2.0,1695.0,514.0
2023-04-22 03:00:00,256.0,154.0,40.0,1.0,1797.0,506.0
2023-04-22 04:00:00,211.0,171.0,32.0,54.0,1873.0,480.0
2023-04-22 05:00:00,193.0,196.0,23.0,306.0,2022.0,532.0
2023-04-22 06:00:00,193.0,182.0,21.0,831.0,1950.0,461.0
2023-04-22 07:00:00,191.0,165.0,21.0,1399.0,1951.0,600.0
2023-04-22 08:00:00,188.0,164.0,21.0,1796.0,1875.0,609.0
2023-04-22 09:00:00,135.0,124.0,14.0,2013.0,2026.0,412.0
2023-04-22 10:00:00,134.0,92.0,14.0,2043.0,2266.0,392.0
2023-04-22 11:00:00,135.0,92.0,14.0,1957.0,2637.0,380.0
2023-04-22 12:00:00,153.0,104.0,17.0,1817.0,2943.0,362.0
2023-04-22 13:00:00,163.0,109.0,19.0,1661.0,2478.0,356.0
2023-04-22 14:00:00,190.0,107.0,20.0,1367.0,2334.0,375.0
2023-04-22 15:00:00,222.0,116.0,22.0,858.0,2432.0,464.0
2023-04-22 16:00:00,311.0,162.0,35.0,457.0,2305.0,577.0
2023-04-22 17:00:00,354.0,233.0,57.0,150.0,2248.0,559.0
2023-04-22 18:00:00,336.0,195.0,39.0,14.0,2586.0,438.0
2023-04-22 19:00:00,318.0,205.0,36.0,3.0,2230.0,419.0
2023-04-22 20:00:00,301.0,185.0,32.0,1.0,2269.0,423.0
2023-04-22 21:00:00,276.0,175.0,27.0,0.0,2052.0,385.0
2023-04-22 22:00:00,271.0,189.0,27.0,0.0,2402.0,471.0
2023-04-22 23:00:00,252.0,161.0,28.0,0.0,2612.0,368.0
