Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
40392,2023-08-11 00:00:00,2024-07-17 00:00:00,3.1,89.77,135.0,106.0,27.0,0.0,1040.0,394.0
40393,2023-08-11 01:00:00,2024-07-17 00:00:00,3.1,95.2,134.0,105.0,27.0,0.0,906.0,421.0
40394,2023-08-11 02:00:00,2024-07-17 00:00:00,3.1,101.71,134.0,105.0,26.0,0.0,896.0,326.0
40395,2023-08-11 03:00:00,2024-07-17 00:00:00,3.1,116.73,140.0,136.0,28.0,1.0,794.0,341.0
40396,2023-08-11 04:00:00,2024-07-17 00:00:00,3.1,125.33,142.0,143.0,28.0,46.0,674.0,341.0
40397,2023-08-11 05:00:00,2024-07-17 00:00:00,3.1,128.94,144.0,145.0,28.0,173.0,496.0,367.0
40398,2023-08-11 06:00:00,2024-07-17 00:00:00,3.1,115.52,142.0,145.0,28.0,384.0,439.0,359.0
40399,2023-08-11 07:00:00,2024-07-17 00:00:00,3.1,108.91,168.0,182.0,32.0,608.0,544.0,376.0
40400,2023-08-11 08:00:00,2024-07-17 00:00:00,3.1,81.89,154.0,110.0,27.0,832.0,590.0,347.0
40401,2023-08-11 09:00:00,2024-07-17 00:00:00,3.1,76.4,157.0,102.0,26.0,893.0,696.0,320.0
40402,2023-08-11 10:00:00,2024-07-17 00:00:00,3.1,72.22,157.0,106.0,27.0,917.0,828.0,312.0
40403,2023-08-11 11:00:00,2024-07-17 00:00:00,3.1,67.88,161.0,106.0,27.0,1006.0,942.0,300.0
40404,2023-08-11 12:00:00,2024-07-17 00:00:00,3.1,72.27,201.0,104.0,27.0,1122.0,1113.0,231.0
40405,2023-08-11 13:00:00,2024-07-17 00:00:00,3.1,82.57,268.0,103.0,27.0,1182.0,1288.0,193.0
40406,2023-08-11 14:00:00,2024-07-17 00:00:00,3.1,81.17,285.0,105.0,27.0,1119.0,1535.0,211.0
40407,2023-08-11 15:00:00,2024-07-17 00:00:00,3.1,92.77,321.0,113.0,28.0,762.0,1695.0,284.0
40408,2023-08-11 16:00:00,2024-07-17 00:00:00,3.1,112.59,342.0,143.0,29.0,450.0,1608.0,311.0
40409,2023-08-11 17:00:00,2024-07-17 00:00:00,3.1,132.59,361.0,158.0,30.0,226.0,1546.0,281.0
40410,2023-08-11 18:00:00,2024-07-17 00:00:00,3.1,167.03,420.0,160.0,29.0,44.0,1449.0,234.0
40411,2023-08-11 19:00:00,2024-07-17 00:00:00,3.1,182.43,410.0,242.0,36.0,0.0,1440.0,151.0
40412,2023-08-11 20:00:00,2024-07-17 00:00:00,3.1,140.66,335.0,151.0,29.0,0.0,1630.0,146.0
40413,2023-08-11 21:00:00,2024-07-17 00:00:00,3.1,128.98,322.0,109.0,27.0,0.0,1692.0,145.0
40414,2023-08-11 22:00:00,2024-07-17 00:00:00,3.1,138.57,354.0,108.0,27.0,0.0,1679.0,141.0
40415,2023-08-11 23:00:00,2024-07-17 00:00:00,3.1,147.88,378.0,108.0,27.0,0.0,1631.0,143.0
